Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.912166	7.215188	29.202387	0.284719	0	0	0	0.000000e+00	1005.253952
2	103.765497	7.129346	29.075224	0.285964	0	0	0	0.000000e+00	966.156269
3	152.670488	7.043504	28.963118	0.287071	0	0	0	0.000000e+00	929.161874
4	199.905906	6.957662	28.872327	0.287974	0	0	0	0.000000e+00	897.454052
5	245.717367	6.871820	28.798897	0.288708	0	0	0	0.000000e+00	870.413359
6	290.214143	6.785978	28.734551	0.289355	0	0	0	0.000000e+00	845.444081
7	333.505520	6.700137	28.678559	0.289919	0	0	0	0.000000e+00	822.548784
8	375.692314	6.614295	28.629895	0.290412	0	0	0	0.000000e+00	801.565350
9	416.848826	6.528453	28.586774	0.290850	0	0	0	0.000000e+00	781.993144
10	457.018046	6.442611	28.547614	0.291249	0	0	0	0.000000e+00	763.238994
11	496.219824	6.356769	28.511281	0.291620	0	0	0	0.000000e+00	744.861513
12	534.450013	6.270927	28.476881	0.291973	0	0	0	0.000000e+00	726.403195
13	571.680853	6.185085	28.443667	0.292314	0	0	0	0.000000e+00	707.427429
14	607.865651	6.099243	28.411247	0.292647	0	0	0	0.000000e+00	687.556927
15	642.943838	6.013401	28.379445	0.292975	0	0	0	0.000000e+00	666.547899
16	676.855354	5.927559	28.348625	0.293294	0	0	0	0.000000e+00	644.390603
17	709.550716	5.841717	28.319306	0.293597	0	0	0	0.000000e+00	621.292987
18	741.007349	5.755875	28.292117	0.293879	0	0	0	0.000000e+00	597.761355
19	771.228485	5.670034	28.267383	0.294137	0	0	0	0.000000e+00	574.292181
20	800.235732	5.584192	28.245014	0.294370	0	0	0	0.000000e+00	551.229610
21	828.070523	5.498350	28.224789	0.294580	0	0	0	0.000000e+00	528.951393
22	854.789315	5.412508	28.206264	0.294774	0	0	0	0.000000e+00	507.746225
23	880.445897	5.326666	28.205547	0.294781	0	0	0	0.000000e+00	487.561837
24	905.076648	5.240824	28.187966	0.294965	0	0	0	0.000000e+00	468.066899
25	928.713984	5.154982	28.169519	0.295158	0	0	0	0.000000e+00	449.188443
26	951.407516	5.069140	28.149816	0.295365	0	0	0	0.000000e+00	431.254373
27	973.244678	4.983298	28.129233	0.295581	0	0	0	0.000000e+00	414.981779
28	994.318179	4.897456	28.107992	0.295805	0	0	0	0.000000e+00	400.465575
29	1014.657670	4.811614	28.073734	0.296166	0	0	0	0.000000e+00	386.520169
30	1034.244954	4.725772	28.045319	0.296466	0	0	0	0.000000e+00	372.226997
31	1053.047798	4.639931	28.009800	0.296842	0	0	0	0.000000e+00	357.316411
32	1070.980302	4.554089	27.962898	0.297339	0	0	0	0.000000e+00	340.779221
33	1087.946092	4.468247	27.897161	0.298040	0	1	1	3.297779e+02	322.407818
34	1103.906708	4.382405	27.805002	0.299028	0	1	1	3.297779e+02	303.306553
35	1118.871696	4.296563	27.237294	0.305261	0	1	1	3.297779e+02	284.385107
36	1132.883407	4.210721	27.091712	0.306901	0	1	1	3.297779e+02	266.269897
37	1146.038210	4.124879	26.963445	0.308361	0	1	1	3.297779e+02	249.984590
38	1158.458284	4.039037	26.858572	0.309565	0	0	0	0.000000e+00	236.021246
39	1170.350307	3.953195	26.783543	0.310432	0	0	0	0.000000e+00	225.986372
40	1181.903827	3.867353	26.733489	0.311013	0	0	0	0.000000e+00	219.555061
41	1193.183633	3.781511	26.693069	0.311484	0	0	0	0.000000e+00	214.354302
42	1204.246055	3.695669	26.660946	0.311860	0	0	0	0.000000e+00	210.223419
43	1215.141362	3.609828	26.636251	0.312149	0	0	0	0.000000e+00	207.048321
44	1225.909677	3.523986	26.617451	0.312369	0	0	0	0.000000e+00	204.636384
45	1236.578710	3.438144	26.602825	0.312541	0	0	0	0.000000e+00	202.748109
46	1247.167323	3.352302	26.590957	0.312680	0	0	0	0.000000e+00	201.219206
47	1257.682832	3.266460	26.582497	0.312780	0	0	0	0.000000e+00	199.828765
48	1268.123043	3.180618	26.590913	0.312681	0	0	0	0.000000e+00	198.400120
49	1278.495471	3.094776	26.598557	0.312591	0	0	0	0.000000e+00	197.111806
50	1288.825928	3.008934	26.603381	0.312534	0	0	0	0.000000e+00	196.310823
51	1299.129233	2.923092	26.606337	0.312500	0	0	0	0.000000e+00	195.799077
52	1309.386386	2.837250	26.611600	0.312438	0	0	0	0.000000e+00	194.920188
53	1319.568773	2.751408	26.619975	0.312340	0	0	0	0.000000e+00	193.500616
54	1329.654573	2.665566	26.630960	0.312211	0	0	0	0.000000e+00	191.661825
55	1339.620154	2.579725	26.644446	0.312053	0	0	0	0.000000e+00	189.380620
56	1349.444427	2.493883	26.660371	0.311866	0	0	0	0.000000e+00	186.693925
57	1359.111975	2.408041	26.678037	0.311660	0	0	0	0.000000e+00	183.715669
58	1368.618051	2.322199	26.696265	0.311447	0	0	0	0.000000e+00	180.647714
59	1377.973926	2.236357	26.713183	0.311250	0	0	0	0.000000e+00	177.791840
60	1387.213330	2.150515	26.726335	0.311097	0	0	0	0.000000e+00	175.578174
61	1396.408039	2.064673	26.731368	0.311038	0	0	0	0.000000e+00	174.729494
62	1405.640917	1.978831	26.727040	0.311088	0	0	0	0.000000e+00	175.454825
63	1414.917808	1.892989	26.722047	0.311147	0	0	0	0.000000e+00	176.291660
64	1424.193556	1.807147	26.722188	0.311145	0	0	0	0.000000e+00	176.269859
65	1433.451259	1.721305	26.724256	0.311121	0	0	0	0.000000e+00	175.925350
66	1442.692086	1.635463	26.726072	0.311100	0	0	0	0.000000e+00	175.610041
67	1451.924447	1.549622	26.727146	0.311087	0	0	0	0.000000e+00	175.443764
68	1461.164158	1.463780	26.726246	0.311098	0	0	0	0.000000e+00	175.585820
69	1470.437952	1.377938	26.722480	0.311141	0	0	0	0.000000e+00	176.231293
70	1479.785258	1.292096	26.714146	0.311239	0	0	0	0.000000e+00	177.628877
71	1489.263612	1.206254	26.699397	0.311410	0	0	0	0.000000e+00	180.118378
72	1498.955912	1.120412	26.675215	0.311693	0	0	0	0.000000e+00	184.187275
73	1508.963792	1.034570	26.639662	0.312109	0	0	0	0.000000e+00	190.183550
74	1519.290988	0.948728	26.603658	0.312531	0	0	0	0.000000e+00	196.253914
75	1529.803620	0.862886	26.582783	0.312777	0	0	0	0.000000e+00	199.775683
76	1540.398295	0.777044	26.591824	0.312670	0	0	0	0.000000e+00	201.334832
77	1551.049149	0.691202	26.600135	0.312573	0	0	0	0.000000e+00	202.401675
78	1561.745140	0.605360	26.606814	0.312494	0	0	0	0.000000e+00	203.261470
79	1572.485698	0.519519	26.613373	0.312417	0	0	0	0.000000e+00	204.106152
80	1583.276643	0.433677	26.620807	0.312330	0	0	0	0.000000e+00	205.064822
81	1594.126093	0.347835	26.629494	0.312228	0	0	0	0.000000e+00	206.176135
82	1605.040782	0.261993	26.639138	0.312115	0	0	0	0.000000e+00	207.416106
83	1616.028063	0.176151	26.649848	0.311989	0	0	0	0.000000e+00	208.793961
84	1627.099827	0.090309	26.662305	0.311844	0	0	0	0.000000e+00	210.402615
85	1638.262083	0.004467	26.675687	0.311687	0	0	0	0.000000e+00	212.120515
86	1649.490211	-0.081375	26.685438	0.311573	0	0	0	0.000000e+00	213.372539
87	1660.744074	-0.167217	26.689261	0.311529	0	0	0	0.000000e+00	213.860304
88	1671.998951	-0.253059	26.689375	0.311527	0	0	0	0.000000e+00	213.879986
89	1683.240742	-0.338901	26.687451	0.311550	0	0	0	0.000000e+00	213.632203
90	1694.456027	-0.424743	26.683538	0.311596	0	0	0	0.000000e+00	213.129417
91	1705.634453	-0.510584	26.678129	0.311659	0	0	0	0.000000e+00	212.425105
92	1716.768880	-0.596426	26.671597	0.311735	0	0	0	0.000000e+00	211.592414
93	1727.856381	-0.682268	26.664669	0.311816	0	0	0	0.000000e+00	210.699557
94	1738.895414	-0.768110	26.657490	0.311900	0	0	0	0.000000e+00	209.778904
95	1749.884124	-0.853952	26.650096	0.311987	0	0	0	0.000000e+00	208.820669
96	1760.819276	-0.939794	26.642163	0.312079	0	0	0	0.000000e+00	207.802976
97	1771.696242	-1.025636	26.633553	0.312180	0	0	0	0.000000e+00	206.697922
98	1782.509700	-1.111478	26.624141	0.312291	0	0	0	0.000000e+00	205.492371
99	1793.257715	-1.197320	26.614484	0.312404	0	0	0	0.000000e+00	204.247281
100	1803.941890	-1.283162	26.605040	0.312515	0	0	0	0.000000e+00	203.038456
101	1814.566169	-1.369004	26.596197	0.312619	0	0	0	0.000000e+00	201.896953
102	1825.133229	-1.454846	26.587761	0.312718	0	0	0	0.000000e+00	200.808659
103	1835.639016	-1.540687	26.583585	0.312767	0	0	0	0.000000e+00	199.644608
104	1846.074165	-1.626529	26.591538	0.312674	0	0	0	0.000000e+00	198.302211
105	1856.433420	-1.712371	26.600046	0.312574	0	0	0	0.000000e+00	196.861948
106	1866.714290	-1.798213	26.608884	0.312470	0	0	0	0.000000e+00	195.371689
107	1876.910318	-1.884055	26.618447	0.312358	0	0	0	0.000000e+00	193.759510
108	1887.009814	-1.969897	26.629327	0.312230	0	0	0	0.000000e+00	191.924215
109	1896.994907	-2.055739	26.642206	0.312079	0	0	0	0.000000e+00	189.751744
110	1906.843990	-2.141581	26.657579	0.311899	0	0	0	0.000000e+00	187.165857
111	1916.535923	-2.227423	26.675284	0.311692	0	0	0	0.000000e+00	184.179574
112	1926.055506	-2.313265	26.694639	0.311466	0	0	0	0.000000e+00	180.906752
113	1935.396797	-2.399107	26.714830	0.311231	0	0	0	0.000000e+00	177.515322
114	1944.560515	-2.484949	26.734842	0.310998	0	0	0	0.000000e+00	174.140975
115	1953.547929	-2.570790	26.754739	0.310766	0	0	0	0.000000e+00	170.789903
116	1962.348254	-2.656632	26.775750	0.310522	0	0	0	0.000000e+00	167.236361
117	1970.925337	-2.742474	26.800969	0.310230	0	0	0	0.000000e+00	162.992917
118	1979.217795	-2.828316	26.833042	0.309859	0	0	0	0.000000e+00	157.583525
119	1987.170323	-2.914158	26.871286	0.309418	0	0	0	0.000000e+00	151.126117
120	1994.792679	-3.000000	26.908476	0.308991	0	0	0	0.000000e+00	144.851822
