Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1025.038641	 -0.000062	0	1.232234e-28
1	52.912166	7.215188	985.469264	  0.000000	1	1.760095e-05
2	103.765497	7.129346	946.843273	  0.000000	1	1.760095e-05
3	152.670488	7.043504	911.480475	 -0.000000	1	1.760095e-05
4	199.905906	6.957662	883.427628	 -0.000000	1	1.760095e-05
5	245.717367	6.871820	857.399089	  0.000000	1	1.760095e-05
6	290.214143	6.785978	833.489074	  0.000000	1	1.760095e-05
7	333.505520	6.700137	811.608494	  0.000000	1	1.760095e-05
8	375.692314	6.614295	791.522205	 -0.000000	1	1.760095e-05
9	416.848826	6.528453	772.464083	 -0.000000	1	1.760095e-05
10	457.018046	6.442611	754.013904	 -0.000000	1	1.760095e-05
11	496.219824	6.356769	735.709121	 -0.000000	1	1.760095e-05
12	534.450013	6.270927	717.097268	 -0.000000	1	1.760095e-05
13	571.680853	6.185085	697.757590	 -0.000000	1	1.760095e-05
14	607.865651	6.099243	677.356264	 -0.000000	1	1.760095e-05
15	642.943838	6.013401	655.739534	 -0.000000	1	1.760095e-05
16	676.855354	5.927559	633.041671	 -0.000000	1	1.760095e-05
17	709.550716	5.841717	609.544303	 -0.000000	1	1.760095e-05
18	741.007349	5.755875	585.978406	  0.000000	1	1.760095e-05
19	771.228485	5.670034	562.605956	  0.000000	1	1.760095e-05
20	800.235732	5.584192	539.853264	  0.000000	1	1.760095e-05
21	828.070523	5.498350	518.049523	  0.000000	1	1.760095e-05
22	854.789315	5.412508	497.442926	 -0.000000	1	1.760095e-05
23	880.445897	5.326666	477.680747	  0.000000	1	1.760095e-05
24	905.076648	5.240824	458.453051	  0.000000	1	1.760095e-05
25	928.713984	5.154982	439.923834	  0.000000	1	1.760095e-05
26	951.407516	5.069140	422.584912	 -0.000000	1	1.760095e-05
27	973.244678	4.983298	407.378646	 -0.000000	1	1.760095e-05
28	994.318179	4.897456	393.552504	 -0.000000	1	1.760095e-05
29	1014.657670	4.811614	379.487835	 -0.000000	1	1.760095e-05
30	1034.244954	4.725772	364.966160	 -0.000000	1	1.760095e-05
31	1053.047798	4.639931	349.666663	 -0.000000	1	1.760095e-05
32	1070.980302	4.554089	331.891779	  0.000000	1	1.760095e-05
33	1087.946092	4.468247	312.923856	  0.000000	1	1.760095e-05
