Layer	  log(P)	nClouds
1	7.215188	0
2	7.129346	0
3	7.043504	0
4	6.957662	0
5	6.871820	0
6	6.785978	0
7	6.700137	0
8	6.614295	0
9	6.528453	0
10	6.442611	0
11	6.356769	0
12	6.270927	0
13	6.185085	0
14	6.099243	0
15	6.013401	0
16	5.927559	0
17	5.841717	0
18	5.755875	0
19	5.670034	0
20	5.584192	0
21	5.498350	0
22	5.412508	0
23	5.326666	0
24	5.240824	0
25	5.154982	0
26	5.069140	0
27	4.983298	0
28	4.897456	0
29	4.811614	0
30	4.725772	0
31	4.639931	0
32	4.554089	0
33	4.468247	0
34	4.382405	0
35	4.296563	0
36	4.210721	0
37	4.124879	0
38	4.039037	0
39	3.953195	0
40	3.867353	0
41	3.781511	0
42	3.695669	0
43	3.609828	0
44	3.523986	0
45	3.438144	0
46	3.352302	0
47	3.266460	0
48	3.180618	0
49	3.094776	0
50	3.008934	0
51	2.923092	0
52	2.837250	0
53	2.751408	0
54	2.665566	0
55	2.579725	0
56	2.493883	0
57	2.408041	0
58	2.322199	0
59	2.236357	0
60	2.150515	0
61	2.064673	0
62	1.978831	0
63	1.892989	0
64	1.807147	0
65	1.721305	0
66	1.635463	0
67	1.549622	0
68	1.463780	0
69	1.377938	0
70	1.292096	0
71	1.206254	0
72	1.120412	0
73	1.034570	0
74	0.948728	0
75	0.862886	0
76	0.777044	0
77	0.691202	0
78	0.605360	0
79	0.519519	0
80	0.433677	0
81	0.347835	0
82	0.261993	0
83	0.176151	0
84	0.090309	0
85	0.004467	0
86	-0.081375	0
87	-0.167217	0
88	-0.253059	0
89	-0.338901	0
90	-0.424743	0
91	-0.510584	0
92	-0.596426	0
93	-0.682268	0
94	-0.768110	0
95	-0.853952	0
96	-0.939794	0
97	-1.025636	0
98	-1.111478	0
99	-1.197320	0
100	-1.283162	0
101	-1.369004	0
102	-1.454846	0
103	-1.540687	0
104	-1.626529	0
105	-1.712371	0
106	-1.798213	0
107	-1.884055	0
108	-1.969897	0
109	-2.055739	0
110	-2.141581	0
111	-2.227423	0
112	-2.313265	0
113	-2.399107	0
114	-2.484949	0
115	-2.570790	0
116	-2.656632	0
117	-2.742474	0
118	-2.828316	0
119	-2.914158	0
120	-3.000000	0
