#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	7.301030	1019.677502
52.912166	7.215188	985.783726
103.765497	7.129346	947.931004
152.670488	7.043504	913.917125
199.905906	6.957662	884.102397
245.717367	6.871820	858.105264
290.214143	6.785978	834.165552
333.505520	6.700137	812.206591
375.692314	6.614295	791.864927
416.848826	6.528453	772.666731
457.018046	6.442611	754.062369
496.219824	6.356769	735.606764
534.450013	6.270927	716.854660
571.680853	6.185085	697.403707
607.865651	6.099243	676.951129
642.943838	6.013401	655.379156
676.855354	5.927559	632.775170
709.550716	5.841717	609.521460
741.007349	5.755875	586.042889
771.228485	5.670034	562.812542
800.235732	5.584192	540.169581
828.070523	5.498350	518.448571
854.789315	5.412508	497.724399
880.445897	5.326666	477.858908
905.076648	5.240824	458.685878
928.713984	5.154982	440.320599
951.407516	5.069140	423.295797
973.244678	4.983298	407.838687
994.318179	4.897456	393.472995
1014.657670	4.811614	379.335500
1034.244954	4.725772	364.706886
1053.047798	4.639931	348.841534
1070.980302	4.554089	331.494099
1087.946092	4.468247	312.834962
1103.906708	4.382405	293.898024
1118.871696	4.296563	275.409681
1132.883407	4.210721	258.350048
1146.038210	4.124879	243.167107
1158.458284	4.039037	231.494365
1170.350307	3.953195	222.880754
1181.903827	3.867353	217.049736
1193.183633	3.781511	212.372118
1204.246055	3.695669	208.711910
1215.141362	3.609828	205.893506
1225.909677	3.523986	203.728370
1236.578710	3.438144	202.007429
1247.167323	3.352302	200.523291
1257.682832	3.266460	199.108770
1268.123043	3.180618	197.785024
1278.495471	3.094776	196.763475
1288.825928	3.008934	196.050995
1299.129233	2.923092	195.302397
1309.386386	2.837250	194.177524
1319.568773	2.751408	192.544229
1329.654573	2.665566	190.484478
1339.620154	2.579725	188.006435
1349.444427	2.493883	185.187041
1359.111975	2.408041	182.184498
1368.618051	2.322199	179.252317
1377.973926	2.236357	176.759501
1387.213330	2.150515	175.306837
1396.408039	2.064673	175.201491
1405.640917	1.978831	175.782495
1414.917808	1.892989	176.228402
1424.193556	1.807147	176.096178
1433.451259	1.721305	175.773989
1442.692086	1.635463	175.545448
1451.924447	1.549622	175.547635
1461.164158	1.463780	175.959616
1470.437952	1.377938	177.004378
1479.785258	1.292096	178.981321
1489.263612	1.206254	182.308366
1498.955912	1.120412	187.351102
1508.963792	1.034570	193.065390
1519.290988	0.948728	197.743375
1529.803620	0.862886	200.499578
1540.398295	0.777044	201.841882
1551.049149	0.691202	202.823436
1561.745140	0.605360	203.689429
1572.485698	0.519519	204.598867
1583.276643	0.433677	205.632539
1594.126093	0.347835	206.805503
1605.040782	0.261993	208.118631
1616.028063	0.176151	209.623157
1627.099827	0.090309	211.254904
1638.262083	0.004467	212.675542
1649.490211	-0.081375	213.560029
1660.744074	-0.167217	213.848523
1671.998951	-0.253059	213.733139
1683.240742	-0.338901	213.361265
1694.456027	-0.424743	212.763218
1705.634453	-0.510584	212.001406
1716.768880	-0.596426	211.143312
1727.856381	-0.682268	210.237272
1738.895414	-0.768110	209.295482
1749.884124	-0.853952	208.306217
1760.819276	-0.939794	207.241494
1771.696242	-1.025636	206.087352
1782.509700	-1.111478	204.871031
1793.257715	-1.197320	203.647708
1803.941890	-1.283162	202.474085
1814.566169	-1.369004	201.355293
1825.133229	-1.454846	200.211519
1835.639016	-1.540687	198.958799
1846.074165	-1.626529	197.580379
1856.433420	-1.712371	196.110186
1866.714290	-1.798213	194.551911
1876.910318	-1.884055	192.818365
1887.009814	-1.969897	190.805281
1896.994907	-2.055739	188.422597
1906.843990	-2.141581	185.642187
1916.535923	-2.227423	182.525935
1926.055506	-2.313265	179.208497
1935.396797	-2.399107	175.833536
1944.560515	-2.484949	172.463931
1953.547929	-2.570790	168.980895
1962.348254	-2.656632	165.031892
1970.925337	-2.742474	160.176644
1979.217795	-2.828316	154.291729
1987.170323	-2.914158	148.082581
1994.792679	-3.000000	142.432810
