Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.903289	7.215188	29.201731	0.284725	0	0	0	0.000000e+00	1005.080207
2	103.745646	7.129346	29.074394	0.285972	0	0	0	0.000000e+00	965.943192
3	152.638491	7.043504	28.962226	0.287080	0	0	0	0.000000e+00	928.925106
4	199.862008	6.957662	28.871453	0.287982	0	0	0	0.000000e+00	897.223353
5	245.663238	6.871820	28.798137	0.288716	0	0	0	0.000000e+00	870.211752
6	290.151664	6.785978	28.733886	0.289361	0	0	0	0.000000e+00	845.276494
7	333.436588	6.700137	28.678047	0.289925	0	0	0	0.000000e+00	822.415791
8	375.618421	6.614295	28.629458	0.290417	0	0	0	0.000000e+00	801.462671
9	416.771157	6.528453	28.586442	0.290854	0	0	0	0.000000e+00	781.914195
10	456.937603	6.442611	28.547316	0.291252	0	0	0	0.000000e+00	763.178076
11	496.137528	6.356769	28.511031	0.291623	0	0	0	0.000000e+00	744.815967
12	534.366390	6.270927	28.476623	0.291975	0	0	0	0.000000e+00	726.373234
13	571.597060	6.185085	28.443438	0.292316	0	0	0	0.000000e+00	707.416522
14	607.782729	6.099243	28.411060	0.292649	0	0	0	0.000000e+00	687.567096
15	642.862923	6.013401	28.379312	0.292977	0	0	0	0.000000e+00	666.577382
16	676.777017	5.927559	28.348578	0.293294	0	0	0	0.000000e+00	644.428915
17	709.474516	5.841717	28.319279	0.293598	0	0	0	0.000000e+00	621.323421
18	740.931288	5.755875	28.292032	0.293880	0	0	0	0.000000e+00	597.762586
19	771.147711	5.670034	28.267261	0.294138	0	0	0	0.000000e+00	574.199226
20	800.141930	5.584192	28.244744	0.294372	0	0	0	0.000000e+00	550.981624
21	827.954203	5.498350	28.224437	0.294584	0	0	0	0.000000e+00	528.521082
22	854.639729	5.412508	28.205724	0.294780	0	0	0	0.000000e+00	507.112603
23	880.248218	5.326666	28.204742	0.294790	0	0	0	0.000000e+00	486.646941
24	904.810992	5.240824	28.186754	0.294978	0	0	0	0.000000e+00	466.776153
25	928.358444	5.154982	28.167754	0.295177	0	0	0	0.000000e+00	447.479671
26	950.938658	5.069140	28.147237	0.295392	0	0	0	0.000000e+00	429.102606
27	972.639865	4.983298	28.125697	0.295618	0	0	0	0.000000e+00	412.395949
28	993.550206	4.897456	28.092304	0.295970	0	0	0	0.000000e+00	397.367764
29	1013.690174	4.811614	28.066673	0.296240	0	0	0	0.000000e+00	382.727454
30	1033.011318	4.725772	28.034012	0.296585	0	0	0	0.000000e+00	367.168394
31	1051.392532	4.639931	27.989877	0.297053	0	0	0	0.000000e+00	349.305175
32	1068.755337	4.554089	27.929050	0.297700	0	1	1	3.360463e+02	329.952983
33	1085.099667	4.468247	27.845732	0.298591	0	1	1	3.360463e+02	310.599790
34	1100.454046	4.382405	27.301234	0.304546	0	1	1	3.360463e+02	291.785638
35	1114.873030	4.296563	27.160364	0.306125	0	1	1	3.360463e+02	274.009186
36	1128.451625	4.210721	27.032580	0.150109	1	1	1	3.360463e+02	258.036406
37	1141.366011	4.124879	27.070179	0.218466	1	1	1	3.360463e+02	245.419664
38	1153.683247	4.039037	27.021832	0.263630	1	1	1	3.360463e+02	234.068577
39	1165.380546	3.953195	26.954712	0.308461	1	0	0	0.000000e+00	222.290021
40	1176.679981	3.867353	26.908960	0.297913	1	0	0	0.000000e+00	214.728509
41	1187.818423	3.781511	26.886065	0.299973	1	0	0	0.000000e+00	211.666849
42	1198.839857	3.695669	26.869213	0.300912	1	0	0	0.000000e+00	209.444383
43	1209.779480	3.609828	26.857228	0.301092	1	0	0	0.000000e+00	207.888023
44	1220.656926	3.523986	26.847968	0.300848	1	0	0	0.000000e+00	206.707136
45	1231.476467	3.438144	26.839309	0.300502	1	0	0	0.000000e+00	205.608862
46	1242.244139	3.352302	26.831501	0.309877	1	0	0	0.000000e+00	204.621435
47	1252.964648	3.266460	26.824310	0.299332	1	0	0	0.000000e+00	203.726598
48	1263.645144	3.180618	26.818077	0.298410	1	0	0	0.000000e+00	202.966021
49	1274.299241	3.094776	26.813686	0.310083	1	0	0	0.000000e+00	202.461569
50	1284.948912	3.008934	26.812084	0.294425	1	0	0	0.000000e+00	202.381940
