Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1024.885927	 -0.000127	0	1.232234e-28
1	52.903289	7.215188	985.274487	 -0.000019	1	8.464634e-03
2	103.745646	7.129346	946.611897	  0.000011	1	8.464634e-03
3	152.638491	7.043504	911.238315	  0.000027	1	3.109140e-03
4	199.862008	6.957662	883.208392	  0.000000	1	5.130081e-03
5	245.663238	6.871820	857.215113	  0.000007	1	1.142017e-03
6	290.151664	6.785978	833.337875	  0.000002	1	2.542264e-04
7	333.436588	6.700137	811.493708	  0.000000	1	1.142017e-03
8	375.618421	6.614295	791.431634	  0.000002	1	1.540766e-04
9	416.771157	6.528453	772.396757	  0.000000	1	4.194735e-04
10	456.937603	6.442611	753.959394	  0.000000	1	4.194735e-04
11	496.137528	6.356769	735.672539	  0.000000	1	2.542264e-04
12	534.366390	6.270927	717.073929	  0.000000	1	2.542264e-04
13	571.597060	6.185085	697.759115	 -0.000002	1	3.429926e-05
14	607.782729	6.099243	677.375077	 -0.000000	1	4.194735e-04
15	642.862923	6.013401	655.779687	  0.000000	1	2.078743e-05
16	676.777017	5.927559	633.078143	  0.000000	1	9.337975e-05
17	709.474516	5.841717	609.568698	 -0.000000	1	7.635421e-06
18	740.931288	5.755875	585.956473	  0.000000	1	5.659379e-05
19	771.147711	5.670034	562.441978	  0.000000	1	2.078743e-05
20	800.141930	5.584192	539.521269	  0.000000	1	2.078743e-05
21	827.954203	5.498350	517.520894	 -0.000000	1	2.078743e-05
22	854.639729	5.412508	496.704312	 -0.000000	1	2.078743e-05
23	880.248218	5.326666	476.589569	  0.000000	1	9.337975e-05
24	904.810992	5.240824	456.962738	 -0.000000	1	3.429926e-05
25	928.358444	5.154982	437.996604	 -0.000003	1	1.259844e-05
26	950.938658	5.069140	420.208608	  0.000000	1	1.540766e-04
27	972.639865	4.983298	404.583290	 -0.000000	1	5.659379e-05
28	993.550206	4.897456	390.152237	 -0.000010	1	2.804562e-06
29	1013.690174	4.811614	375.302670	 -0.000002	1	4.194735e-04
30	1033.011318	4.725772	359.034118	 -0.000014	0	2.804562e-06
31	1051.392532	4.639931	339.576232	  0.000001	1	2.542264e-04
32	1068.755337	4.554089	320.329735	 -0.000014	0	7.635421e-06
33	1085.099667	4.468247	300.869845	  0.000000	0	2.542264e-04
34	1100.454046	4.382405	282.701431	 -0.000002	0	5.659379e-05
35	1114.873030	4.296563	265.316942	 -0.000001	0	1.540766e-04
36	1128.451625	4.210721	250.755870	 -0.000001	0	4.194735e-04
37	1141.366011	4.124879	240.083457	 -0.000045	0	7.635421e-06
38	1153.683247	4.039037	228.053697	 -0.000002	0	1.540766e-04
39	1165.380546	3.953195	216.526345	 -0.000012	0	1.142017e-03
40	1176.679981	3.867353	212.930673	 -0.000125	0	4.627528e-06
41	1187.818423	3.781511	210.403025	  0.000001	1	4.194735e-04
42	1198.839857	3.695669	208.485742	 -0.000048	1	2.542264e-04
43	1209.779480	3.609828	207.290305	 -0.000006	0	6.921313e-04
44	1220.656926	3.523986	206.123968	  0.000005	1	6.921313e-04
45	1231.476467	3.438144	205.093756	 -0.000147	1	2.542264e-04
46	1242.244139	3.352302	204.149115	 -0.000108	1	5.130081e-03
47	1252.964648	3.266460	203.304081	 -0.001424	1	7.635421e-06
48	1263.645144	3.180618	202.627962	 -0.005025	1	6.921313e-04
49	1274.299241	3.094776	202.295175	 -0.006963	1	5.130081e-03
50	1284.948912	3.008934	202.468706	 -0.000175	1	8.464634e-03
51	1295.602573	2.923092	202.445667	 -0.000417	1	8.464634e-03
52	1306.242149	2.837250	201.925860	  0.000066	1	3.109140e-03
53	1316.852947	2.751408	201.357224	  0.000059	1	2.542264e-04
54	1327.433113	2.665566	200.758295	  0.000366	1	1.884327e-03
55	1337.975072	2.579725	199.909164	  0.000078	1	5.130081e-03
56	1348.483647	2.493883	199.482757	  0.000537	0	5.130081e-03
57	1358.959340	2.408041	198.664368	  0.000615	1	5.130081e-03
58	1369.402256	2.322199	198.238652	 -0.000017	0	5.130081e-03
59	1379.822381	2.236357	197.791455	  0.000362	1	5.130081e-03
60	1390.231327	2.150515	197.817822	  0.000518	1	3.109140e-03
61	1400.660368	2.064673	198.553527	 -0.006302	1	9.337975e-05
62	1411.134246	1.978831	199.525542	 -0.000379	1	5.130081e-03
63	1421.628276	1.892989	199.314408	 -0.017823	1	5.659379e-05
64	1432.100703	1.807147	198.707581	 -0.000744	1	5.130081e-03
65	1442.542692	1.721305	198.159330	 -0.045900	1	2.078743e-05
66	1452.959796	1.635463	197.762043	  0.002323	1	8.464634e-03
67	1463.354607	1.549622	197.311946	  0.000591	1	4.627528e-06
68	1473.725076	1.463780	196.836389	 -0.000332	1	1.142017e-03
69	1484.081324	1.377938	196.766611	 -0.004729	1	2.078743e-05
70	1494.442610	1.292096	197.033346	 -0.000285	1	1.884327e-03
71	1504.804558	1.206254	196.790600	 -0.001148	1	3.429926e-05
72	1515.189782	1.120412	197.917737	  0.000377	1	4.194735e-04
73	1525.708312	1.034570	201.859719	 -0.000175	1	4.194735e-04
74	1536.415751	0.948728	205.095391	  0.002049	1	9.337975e-05
75	1547.230899	0.862886	205.949321	  0.000346	1	6.921313e-04
