Layer	  log(P)	nClouds	Molec.   7	Cloud    7
1	7.215188	0	8.4445e-03	0.0000e+00
2	7.129346	0	8.4446e-03	0.0000e+00
3	7.043504	0	8.4450e-03	0.0000e+00
4	6.957662	0	8.4451e-03	0.0000e+00
5	6.871820	0	8.4450e-03	0.0000e+00
6	6.785978	0	8.4451e-03	0.0000e+00
7	6.700137	0	8.4451e-03	0.0000e+00
8	6.614295	0	8.4453e-03	0.0000e+00
9	6.528453	0	8.4455e-03	0.0000e+00
10	6.442611	0	8.4454e-03	0.0000e+00
11	6.356769	0	8.4451e-03	0.0000e+00
12	6.270927	0	8.4454e-03	0.0000e+00
13	6.185085	0	8.4458e-03	0.0000e+00
14	6.099243	0	8.4456e-03	0.0000e+00
15	6.013401	0	8.4459e-03	0.0000e+00
16	5.927559	0	8.4457e-03	0.0000e+00
17	5.841717	0	8.4461e-03	0.0000e+00
18	5.755875	0	8.4463e-03	0.0000e+00
19	5.670034	0	8.4466e-03	0.0000e+00
20	5.584192	0	8.4465e-03	0.0000e+00
21	5.498350	0	8.4466e-03	0.0000e+00
22	5.412508	0	8.4468e-03	0.0000e+00
23	5.326666	0	8.4467e-03	0.0000e+00
24	5.240824	0	8.4469e-03	0.0000e+00
25	5.154982	0	8.4467e-03	0.0000e+00
26	5.069140	0	8.4469e-03	0.0000e+00
27	4.983298	0	8.4467e-03	0.0000e+00
28	4.897456	0	8.4469e-03	0.0000e+00
29	4.811614	0	8.4467e-03	0.0000e+00
30	4.725772	0	8.4469e-03	0.0000e+00
31	4.639931	0	8.4469e-03	0.0000e+00
32	4.554089	0	8.4468e-03	0.0000e+00
33	4.468247	0	8.4471e-03	0.0000e+00
34	4.382405	0	8.4468e-03	0.0000e+00
35	4.296563	0	8.4468e-03	0.0000e+00
36	4.210721	1	8.1546e-03	2.9151e-04
37	4.124879	1	2.4881e-03	5.9589e-03
38	4.039037	1	8.8940e-04	7.5573e-03
39	3.953195	1	3.0768e-04	8.1397e-03
40	3.867353	1	1.6440e-04	8.2825e-03
41	3.781511	1	1.3243e-04	8.3140e-03
42	3.695669	1	1.1859e-04	8.3282e-03
43	3.609828	1	1.1602e-04	8.3303e-03
44	3.523986	1	1.1942e-04	8.3270e-03
45	3.438144	1	1.2416e-04	8.3230e-03
46	3.352302	1	1.3099e-04	8.3159e-03
47	3.266460	1	1.3991e-04	8.3070e-03
48	3.180618	1	1.5228e-04	8.2945e-03
49	3.094776	1	1.7208e-04	8.2744e-03
50	3.008934	1	2.0720e-04	8.2401e-03
51	2.923092	1	2.5535e-04	8.1909e-03
52	2.837250	1	2.9874e-04	8.1473e-03
53	2.751408	1	3.3539e-04	8.1118e-03
54	2.665566	1	3.7411e-04	8.0726e-03
55	2.579725	1	4.0825e-04	8.0388e-03
56	2.493883	1	4.5110e-04	7.9948e-03
57	2.408041	1	4.9932e-04	7.9477e-03
58	2.322199	1	5.5240e-04	7.8945e-03
59	2.236357	1	6.2877e-04	7.8172e-03
60	2.150515	1	7.4134e-04	7.7055e-03
61	2.064673	1	9.5888e-04	7.4879e-03
62	1.978831	1	1.3344e-03	7.1124e-03
63	1.892989	1	1.7246e-03	6.7214e-03
64	1.807147	1	1.9727e-03	6.4741e-03
65	1.721305	1	2.1975e-03	6.2494e-03
66	1.635463	1	2.4871e-03	5.9596e-03
67	1.549622	1	2.8357e-03	5.6111e-03
68	1.463780	1	3.2123e-03	5.2346e-03
69	1.377938	1	3.7490e-03	4.6971e-03
70	1.292096	1	4.6402e-03	3.8064e-03
71	1.206254	1	5.6650e-03	2.7815e-03
72	1.120412	1	7.4023e-03	1.0446e-03
73	1.034570	0	8.4473e-03	0.0000e+00
74	0.948728	0	8.4467e-03	0.0000e+00
75	0.862886	0	8.4462e-03	0.0000e+00
76	0.777044	0	8.4458e-03	0.0000e+00
77	0.691202	0	8.4474e-03	0.0000e+00
78	0.605360	0	8.4470e-03	0.0000e+00
79	0.519519	0	8.4462e-03	0.0000e+00
80	0.433677	0	8.4471e-03	0.0000e+00
81	0.347835	0	8.4463e-03	0.0000e+00
82	0.261993	0	8.4468e-03	0.0000e+00
83	0.176151	0	8.4467e-03	0.0000e+00
84	0.090309	0	8.4463e-03	0.0000e+00
85	0.004467	0	8.4470e-03	0.0000e+00
86	-0.081375	0	8.4462e-03	0.0000e+00
87	-0.167217	0	8.4467e-03	0.0000e+00
88	-0.253059	0	8.4466e-03	0.0000e+00
89	-0.338901	0	8.4467e-03	0.0000e+00
90	-0.424743	0	8.4468e-03	0.0000e+00
91	-0.510584	0	8.4461e-03	0.0000e+00
92	-0.596426	0	8.4462e-03	0.0000e+00
93	-0.682268	0	8.4465e-03	0.0000e+00
94	-0.768110	0	8.4459e-03	0.0000e+00
95	-0.853952	0	8.4472e-03	0.0000e+00
96	-0.939794	0	8.4471e-03	0.0000e+00
97	-1.025636	0	8.4467e-03	0.0000e+00
98	-1.111478	0	8.4462e-03	0.0000e+00
99	-1.197320	0	8.4469e-03	0.0000e+00
100	-1.283162	0	8.4465e-03	0.0000e+00
101	-1.369004	0	8.4470e-03	0.0000e+00
102	-1.454846	0	8.4471e-03	0.0000e+00
