#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	7.301030	1019.491936
52.903289	7.215188	985.590771
103.745646	7.129346	947.708233
152.638491	7.043504	913.686201
199.862008	6.957662	883.887273
245.663238	6.871820	857.920460
290.151664	6.785978	834.015565
333.436588	6.700137	812.087739
375.618421	6.614295	791.774033
416.771157	6.528453	772.595928
456.937603	6.442611	754.009563
496.137528	6.356769	735.568621
534.366390	6.270927	716.835195
571.597060	6.185085	697.402707
607.782729	6.099243	676.971293
642.862923	6.013401	655.410969
676.777017	5.927559	632.808843
709.474516	5.841717	609.534438
740.931288	5.755875	585.989050
771.147711	5.670034	562.639907
800.141930	5.584192	539.828047
827.954203	5.498350	517.915492
854.639729	5.412508	496.938258
880.248218	5.326666	476.752206
904.810992	5.240824	457.182970
928.358444	5.154982	438.389317
950.938658	5.069140	420.929501
972.639865	4.983298	404.981379
993.550206	4.897456	390.012733
1013.690174	4.811614	374.829675
1033.011318	4.725772	357.971007
1051.392532	4.639931	339.646695
1068.755337	4.554089	320.258604
1085.099667	4.468247	301.300337
1100.454046	4.382405	282.962739
1114.873030	4.296563	266.258081
1128.451625	4.210721	252.052090
1141.366011	4.124879	239.631008
1153.683247	4.039037	228.221166
1165.380546	3.953195	219.170238
1176.679981	3.867353	213.286681
1187.818423	3.781511	210.606480
1198.839857	3.695669	208.726357
1209.779480	3.609828	207.300005
1220.656926	3.523986	206.169343
1231.476467	3.438144	205.122279
1242.244139	3.352302	204.182317
1252.964648	3.266460	203.360386
1263.645144	3.180618	202.742406
1274.299241	3.094776	202.463948
1284.948912	3.008934	202.403183
1295.602573	2.923092	202.280078
1306.242149	2.837250	201.909584
1316.852947	2.751408	201.347127
1327.433113	2.665566	200.674894
1337.975072	2.579725	200.050072
1348.483647	2.493883	199.352096
1358.959340	2.408041	198.795259
1369.402256	2.322199	198.231492
1379.822381	2.236357	197.949310
1390.231327	2.150515	198.054268
1400.660368	2.064673	198.632297
1411.134246	1.978831	199.131159
1421.628276	1.892989	199.182510
1432.100703	1.807147	198.727106
1442.542692	1.721305	198.209651
1452.959796	1.635463	197.744440
1463.354607	1.549622	197.303459
1473.725076	1.463780	196.971649
1484.081324	1.377938	196.878782
1494.442610	1.292096	196.863519
1504.804558	1.206254	197.247227
1515.189782	1.120412	198.856018
1525.708312	1.034570	201.624282
1536.415751	0.948728	204.301477
1547.230899	0.862886	205.890721
1558.086349	0.777044	206.558365
1568.971859	0.691202	207.086081
1579.881231	0.605360	207.571780
1590.816683	0.519519	208.144165
1601.785671	0.433677	208.882375
1612.798605	0.347835	209.788978
1623.863782	0.261993	210.862651
1634.989206	0.176151	212.139621
1646.187701	0.090309	213.553968
1657.465238	0.004467	214.780196
1668.799167	-0.081375	215.500962
1680.151266	-0.167217	215.657253
1691.498166	-0.253059	215.430296
1702.826440	-0.338901	214.954113
1714.123096	-0.424743	214.254427
1725.377196	-0.510584	213.381251
1736.581424	-0.596426	212.404918
1747.732073	-0.682268	211.376150
1758.828003	-0.768110	210.317450
1769.867229	-0.853952	209.220911
1780.847656	-0.939794	208.060002
1791.765194	-1.025636	206.819911
1802.615076	-1.111478	205.525560
1813.395486	-1.197320	204.233325
1824.108944	-1.283162	202.998478
1834.759233	-1.369004	201.847085
1845.351339	-1.454846	200.716845
1855.884769	-1.540687	199.504054
1866.350105	-1.626529	198.156037
1876.740060	-1.712371	196.684445
1887.050791	-1.798213	195.108008
1897.275566	-1.884055	193.353071
1907.402493	-1.969897	191.311409
1917.413822	-2.055739	188.890709
1927.286361	-2.141581	186.054367
1936.998514	-2.227423	182.861200
1946.533730	-2.313265	179.426331
1955.883208	-2.399107	175.878716
1965.044129	-2.484949	172.244947
1974.012563	-2.570790	168.263108
1982.760954	-2.656632	163.543511
1991.235018	-2.742474	157.633572
1999.364334	-2.828316	153.111550
2007.289177	-2.914158	149.734808
2015.139672	-3.000000	145.131907
