Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.900527	7.215188	29.201521	0.284727	0	0	0	0.000000e+00	1005.025581
2	103.739779	7.129346	29.074165	0.285975	0	0	0	0.000000e+00	965.879996
3	152.629209	7.043504	28.961976	0.287082	0	0	0	0.000000e+00	928.855276
4	199.849017	6.957662	28.871183	0.287985	0	0	0	0.000000e+00	897.149046
5	245.646414	6.871820	28.797848	0.288719	0	0	0	0.000000e+00	870.135124
6	290.131140	6.785978	28.733625	0.289364	0	0	0	0.000000e+00	845.201749
7	333.412674	6.700137	28.677780	0.289927	0	0	0	0.000000e+00	822.346499
8	375.591753	6.614295	28.629212	0.290419	0	0	0	0.000000e+00	801.403591
9	416.742448	6.528453	28.586189	0.290856	0	0	0	0.000000e+00	781.870849
10	456.907998	6.442611	28.547123	0.291254	0	0	0	0.000000e+00	763.155907
11	496.108509	6.356769	28.510872	0.291625	0	0	0	0.000000e+00	744.820311
12	534.339468	6.270927	28.476547	0.291976	0	0	0	0.000000e+00	726.406900
13	571.573850	6.185085	28.443440	0.292316	0	0	0	0.000000e+00	707.478789
14	607.764403	6.099243	28.411091	0.292649	0	0	0	0.000000e+00	687.656116
15	642.850710	6.013401	28.379409	0.292976	0	0	0	0.000000e+00	666.689817
16	676.771472	5.927559	28.348667	0.293293	0	0	0	0.000000e+00	644.559010
17	709.475953	5.841717	28.319377	0.293597	0	0	0	0.000000e+00	621.459914
18	740.936586	5.755875	28.292108	0.293880	0	0	0	0.000000e+00	597.834832
19	771.151816	5.670034	28.267235	0.294138	0	0	0	0.000000e+00	574.174631
20	800.141299	5.584192	28.244684	0.294373	0	0	0	0.000000e+00	550.888968
21	827.944604	5.498350	28.224257	0.294586	0	0	0	0.000000e+00	528.352874
22	854.617255	5.412508	28.205521	0.294782	0	0	0	0.000000e+00	506.866612
23	880.210616	5.326666	28.204489	0.294793	0	0	0	0.000000e+00	486.359453
