Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1024.835333	 -0.000114	0	1.232234e-28
1	52.900527	7.215188	985.215828	 -0.000000	1	5.130081e-03
2	103.739779	7.129346	946.544165	  0.000000	1	5.130081e-03
3	152.629209	7.043504	911.166388	 -0.000001	1	1.540766e-04
4	199.849017	6.957662	883.131704	 -0.000001	1	6.921313e-04
5	245.646414	6.871820	857.138545	  0.000000	1	1.884327e-03
6	290.131140	6.785978	833.264954	 -0.000000	1	4.194735e-04
7	333.412674	6.700137	811.428044	 -0.000000	1	4.194735e-04
8	375.591753	6.614295	791.379137	 -0.000000	1	4.194735e-04
9	416.742448	6.528453	772.362561	 -0.000000	1	4.194735e-04
10	456.907998	6.442611	753.949252	 -0.000000	1	1.540766e-04
11	496.108509	6.356769	735.691370	  0.000000	1	6.921313e-04
12	534.339468	6.270927	717.122430	 -0.000000	1	9.337975e-05
13	571.573850	6.185085	697.835148	 -0.000000	1	1.540766e-04
14	607.764403	6.099243	677.477085	 -0.000000	1	1.540766e-04
15	642.850710	6.013401	655.902548	  0.000000	1	9.337975e-05
16	676.771472	5.927559	633.215471	 -0.000000	1	9.337975e-05
17	709.475953	5.841717	609.704356	  0.000000	1	3.429926e-05
18	740.936586	5.755875	585.965309	 -0.000000	1	9.337975e-05
19	771.151816	5.670034	562.383953	 -0.000000	1	5.659379e-05
20	800.141299	5.584192	539.393984	 -0.000000	1	5.659379e-05
21	827.944604	5.498350	517.311765	 -0.000000	1	5.659379e-05
22	854.617255	5.412508	496.421460	 -0.000000	1	3.429926e-05
23	880.210616	5.326666	476.297447	 -0.000000	1	7.635421e-06
24	904.757931	5.240824	456.661792	  0.000000	1	6.921313e-04
25	928.289037	5.154982	437.674247	 -0.000000	1	3.429926e-05
26	950.851953	5.069140	419.873075	 -0.000000	1	1.259844e-05
27	972.525767	4.983298	403.879281	  0.000000	1	9.337975e-05
28	993.389185	4.897456	389.068048	 -0.000000	1	3.429926e-05
29	1013.459428	4.811614	373.737063	 -0.000000	1	1.259844e-05
30	1032.681634	4.725772	356.833635	  0.000001	1	4.194735e-04
31	1050.921701	4.639931	336.410346	  0.000000	1	2.078743e-05
32	1068.113257	4.554089	316.988231	  0.000000	0	5.659379e-05
33	1084.311964	4.468247	298.668873	  0.000000	0	5.659379e-05
34	1099.565183	4.382405	281.055561	  0.000000	0	2.078743e-05
35	1113.915766	4.296563	264.361651	  0.000001	0	9.337975e-05
36	1127.480701	4.210721	251.200939	  0.000000	0	3.429926e-05
