#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	7.301030	1019.438296
52.900527	7.215188	985.531775
103.739779	7.129346	947.642127
152.629209	7.043504	913.614086
199.849017	6.957662	883.812212
245.646414	6.871820	857.845067
290.131140	6.785978	833.943848
333.412674	6.700137	812.024045
375.591753	6.614295	791.723247
416.742448	6.528453	772.563650
456.907998	6.442611	754.001061
496.108509	6.356769	735.587684
534.339468	6.270927	716.882982
571.573850	6.185085	697.478221
607.764403	6.099243	677.071594
642.850710	6.013401	655.531702
676.771472	5.927559	632.940792
709.475953	5.841717	609.628379
740.936586	5.755875	586.017873
771.151816	5.670034	562.581082
800.141299	5.584192	539.696567
827.944604	5.498350	517.709069
854.617255	5.412508	496.676890
880.210616	5.326666	476.460233
904.757931	5.240824	456.877829
928.289037	5.154982	438.069705
950.851953	5.069140	420.475534
972.525767	4.983298	404.273468
993.389185	4.897456	388.894797
1013.459428	4.811614	373.212916
1032.681634	4.725772	355.660348
1050.921701	4.639931	336.744071
1068.113257	4.554089	317.355817
1084.311964	4.468247	298.904222
1099.565183	4.382405	281.362028
1113.915766	4.296563	265.539384
1127.480701	4.210721	252.216840
1140.433396	4.124879	239.933489
1152.762717	4.039037	227.777988
1164.398779	3.953195	217.959747
1175.616986	3.867353	211.884579
1186.691925	3.781511	209.462605
1197.657166	3.695669	207.578287
1208.535346	3.609828	206.068535
1219.342386	3.523986	204.771768
1230.086084	3.438144	203.631202
1240.772086	3.352302	202.595050
1251.407199	3.266460	201.739765
1262.001726	3.180618	201.221718
1272.579289	3.094776	201.284138
1283.178381	3.008934	201.812591
1293.819475	2.923092	202.384790
1304.483857	2.837250	202.766077
1315.158243	2.751408	202.852975
1325.836313	2.665566	202.902663
1336.511638	2.579725	202.868573
1347.187352	2.493883	202.896938
1357.865026	2.408041	203.000327
1368.550623	2.322199	203.314633
1379.259409	2.236357	204.058472
1390.020467	2.150515	205.624898
1400.888330	2.064673	207.995682
1411.907854	1.978831	210.434472
1423.048657	1.892989	212.244353
1434.251890	1.807147	213.250939
1445.493683	1.721305	213.914062
1456.766209	1.635463	214.471686
1468.065922	1.549622	214.995393
1479.392955	1.463780	215.553403
1490.751013	1.377938	216.200556
1502.145651	1.292096	216.983379
1513.585557	1.206254	217.987921
1525.084595	1.120412	219.108759
1536.647146	1.034570	220.506008
1548.285973	0.948728	221.506138
1559.974164	0.862886	222.148961
1571.666432	0.777044	222.186809
1583.358845	0.691202	222.168114
1595.048691	0.605360	222.104831
1606.734490	0.519519	222.008208
1618.414307	0.433677	221.856022
1630.084447	0.347835	221.613375
1641.739068	0.261993	221.251200
1653.371044	0.176151	220.758976
1664.973700	0.090309	220.124145
1676.539249	0.004467	219.314103
1688.057283	-0.081375	218.313528
1699.517059	-0.167217	217.154685
1710.912293	-0.253059	215.908927
1722.240528	-0.338901	214.642613
1733.502022	-0.424743	213.398911
1744.699131	-0.510584	212.207022
1755.835103	-0.596426	211.073979
1766.913039	-0.682268	209.982361
1777.934546	-0.768110	208.893139
1788.898356	-0.853952	207.754780
1799.800524	-0.939794	206.518222
1810.634502	-1.025636	205.155139
1821.393027	-1.111478	203.671682
1832.070579	-1.197320	202.095541
1842.663081	-1.283162	200.424217
1853.165371	-1.369004	198.655109
1863.571151	-1.454846	196.835573
1873.880425	-1.540687	195.049804
1884.098164	-1.626529	193.370542
1894.230444	-1.712371	191.800204
1904.283200	-1.798213	190.305925
1914.259018	-1.884055	188.809291
1924.155350	-1.969897	187.200547
1933.962948	-2.055739	185.377620
1943.667937	-2.141581	183.297156
1953.256208	-2.227423	181.019638
1962.719901	-2.313265	178.722181
1972.063779	-2.399107	176.665842
1981.308296	-2.484949	175.125902
1990.488191	-2.570790	174.283230
1999.644008	-2.656632	174.229132
2008.817811	-2.742474	174.810250
2018.039020	-2.828316	176.400622
2027.366264	-2.914158	177.280366
2036.734882	-3.000000	178.297445
