Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.537888	7.215188	29.177820	0.284959	0	0	0	0.000000e+00	998.166967
2	102.869522	7.129346	29.045292	0.286259	0	0	0	0.000000e+00	956.277157
3	151.066625	7.043504	28.924912	0.287450	0	0	0	0.000000e+00	915.753571
4	197.405410	6.957662	28.826779	0.288429	0	0	0	0.000000e+00	880.472419
5	242.141553	6.871820	28.747372	0.289225	0	0	0	0.000000e+00	850.041702
6	285.387022	6.785978	28.678103	0.289924	0	0	0	0.000000e+00	821.733736
7	327.266215	6.700137	28.618579	0.290527	0	0	0	0.000000e+00	795.789484
8	367.581800	6.614295	28.555161	0.291172	0	0	0	0.000000e+00	766.091098
9	406.100759	6.528453	28.488677	0.291852	0	0	0	0.000000e+00	731.956694
10	442.900491	6.442611	28.431515	0.292439	0	0	0	0.000000e+00	699.294038
11	478.082475	6.356769	28.383428	0.292934	0	0	0	0.000000e+00	668.557411
12	511.764892	6.270927	28.343627	0.293345	0	0	0	0.000000e+00	640.068653
13	544.090637	6.185085	28.311382	0.293679	0	0	0	0.000000e+00	614.286107
14	575.213866	6.099243	28.285492	0.293948	0	0	0	0.000000e+00	591.438751
15	605.149098	6.013401	28.262087	0.294192	0	0	0	0.000000e+00	568.867417
16	633.730706	5.927559	28.237621	0.294447	0	0	0	0.000000e+00	543.144305
17	660.940269	5.841717	28.214404	0.294689	0	0	0	0.000000e+00	517.069535
18	686.946085	5.755875	28.211363	0.294721	0	0	0	0.000000e+00	494.195399
19	711.900512	5.670034	28.193649	0.294906	0	0	0	0.000000e+00	474.216370
20	735.864435	5.584192	28.175788	0.295093	0	0	0	0.000000e+00	455.395707
21	758.860297	5.498350	28.156428	0.295296	0	0	0	0.000000e+00	436.996884
22	780.978297	5.412508	28.136344	0.295506	0	0	0	0.000000e+00	420.314484
23	802.353432	5.326666	28.116779	0.295712	0	0	0	0.000000e+00	406.197117
24	823.122068	5.240824	28.087911	0.296016	0	0	0	0.000000e+00	394.675539
25	843.398190	5.154982	28.071540	0.296189	0	0	0	0.000000e+00	385.316038
26	863.302387	5.069140	28.057897	0.296333	0	0	0	0.000000e+00	378.247587
27	882.538515	4.983298	28.030292	0.296625	0	0	0	0.000000e+00	365.548642
28	900.815522	4.897456	27.981848	0.297138	0	0	0	0.000000e+00	347.324210
29	918.238682	4.811614	27.927771	0.297713	0	0	0	0.000000e+00	331.098507
30	934.845952	4.725772	27.863611	0.298399	0	0	0	0.000000e+00	315.593447
31	950.694146	4.639931	27.792716	0.299160	0	0	0	0.000000e+00	301.168120
32	965.680278	4.554089	27.244375	0.305181	0	1	1	2.922554e+02	284.783475
33	979.867769	4.468247	27.130186	0.306466	0	0	0	0.000000e+00	269.607970
34	993.436347	4.382405	27.087986	0.164624	1	1	2	2.596045e+02	257.846390
35	1006.369719	4.296563	27.027960	0.225550	1	1	2	2.596045e+02	245.777965
36	1018.925784	4.210721	26.827511	0.252550	1	0	0	0.000000e+00	238.607105
