Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1019.108360	 -0.000200	0	1.232234e-28
1	52.537888	7.215188	977.225574	 -0.000195	1	9.311097e-03
2	102.869522	7.129346	935.328741	 -0.000034	1	9.311097e-03
3	151.066625	7.043504	896.178402	 -0.000000	1	9.311097e-03
4	197.405410	6.957662	864.766436	 -0.000019	1	1.027177e-04
5	242.141553	6.871820	835.316969	 -0.000060	1	7.613444e-04
6	285.387022	6.785978	808.150503	 -0.000001	1	5.643089e-03
7	327.266215	6.700137	783.428465	 -0.000000	1	3.420054e-03
8	367.581800	6.614295	748.753731	 -0.000000	1	3.420054e-03
9	406.100759	6.528453	715.159657	 -0.000000	1	5.643089e-03
10	442.900491	6.442611	683.428418	 -0.000000	1	2.072760e-03
11	478.082475	6.356769	653.686404	 -0.000007	1	1.256218e-03
12	511.764892	6.270927	626.450902	 -0.000000	1	3.420054e-03
13	544.090637	6.185085	602.121311	 -0.000119	1	2.796490e-04
14	575.213866	6.099243	580.756190	 -0.000062	1	1.256218e-03
15	605.149098	6.013401	556.978644	 -0.000001	1	3.420054e-03
16	633.730706	5.927559	529.309966	 -0.000001	1	2.072760e-03
17	660.940269	5.841717	504.829104	 -0.000003	1	7.613444e-04
18	686.946085	5.755875	483.561693	 -0.000000	1	2.072760e-03
19	711.900512	5.670034	464.871047	  0.000000	1	2.072760e-03
20	735.864435	5.584192	445.920367	 -0.000000	1	1.256218e-03
21	758.860297	5.498350	428.073401	 -0.000103	1	4.614208e-04
22	780.978297	5.412508	412.555567	  0.000002	1	2.072760e-03
23	802.353432	5.326666	399.838666	  0.000000	1	2.072760e-03
24	823.122068	5.240824	389.512412	  0.000003	1	2.072760e-03
25	843.398190	5.154982	381.119664	  0.000003	1	2.072760e-03
26	863.302387	5.069140	375.375510	 -0.000005	1	3.420054e-03
27	882.538515	4.983298	355.721775	 -0.000026	0	7.613444e-04
28	900.815522	4.897456	338.926644	  0.000001	1	3.420054e-03
29	918.238682	4.811614	323.270370	 -0.000010	0	2.072760e-03
30	934.845952	4.725772	307.916524	 -0.004124	0	3.772919e-05
31	950.694146	4.639931	294.419716	 -0.000003	1	5.643089e-03
