#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	7.301030	1014.487655
52.537888	7.215188	977.220892
102.869522	7.129346	936.244239
151.066625	7.043504	898.757860
197.405410	6.957662	865.420602
242.141553	6.871820	836.077969
285.387022	6.785978	808.965312
327.266215	6.700137	780.110900
367.581800	6.614295	749.113951
406.100759	6.528453	715.780602
442.900491	6.442611	684.091493
478.082475	6.356769	654.521908
511.764892	6.270927	627.419539
544.090637	6.185085	603.109468
575.213866	6.099243	579.952048
605.149098	6.013401	555.681600
633.730706	5.927559	530.372571
660.940269	5.841717	505.900254
686.946085	5.755875	484.420615
711.900512	5.670034	464.784369
735.864435	5.584192	446.288272
758.860297	5.498350	428.849778
780.978297	5.412508	413.489211
802.353432	5.326666	400.635548
823.122068	5.240824	390.156914
843.398190	5.154982	382.002528
863.302387	5.069140	370.738983
882.538515	4.983298	356.674643
900.815522	4.897456	339.306263
918.238682	4.811614	323.371179
934.845952	4.725772	308.535537
950.694146	4.639931	292.494492
965.680278	4.554089	277.878552
979.867769	4.468247	263.613338
993.436347	4.382405	251.874879
1006.369719	4.296563	242.946095
1018.925784	4.210721	236.630235
1031.290906	4.124879	235.020477
1043.598737	4.039037	233.437400
1055.902813	3.953195	229.752519
1067.852164	3.867353	223.098082
1079.343970	3.781511	213.132518
1090.336136	3.695669	201.468820
1100.578228	3.609828	192.537291
1110.444260	3.523986	189.953301
1120.527381	3.438144	193.340666
1130.832915	3.352302	196.708776
1141.232242	3.266460	198.264502
1151.704112	3.180618	199.577964
1162.235968	3.094776	200.858855
1172.839926	3.008934	202.119713
1183.512485	2.923092	202.674878
1194.187836	2.837250	203.142621
1204.872689	2.751408	203.060124
1215.575585	2.665566	202.799496
1226.223798	2.579725	198.614780
1236.557658	2.493883	191.793257
1246.391876	2.408041	188.220816
1256.219697	2.322199	191.932715
1266.564617	2.236357	199.471830
1277.286712	2.150515	205.484806
1288.184364	2.064673	208.864004
1299.270632	1.978831	211.868979
1310.496806	1.892989	214.011665
1321.800628	1.807147	215.296638
1333.157488	1.721305	216.232952
1344.559090	1.635463	217.062013
1356.002279	1.549622	217.770358
1367.480479	1.463780	218.423519
1378.989471	1.377938	219.185811
1390.544304	1.292096	220.122354
1402.156497	1.206254	221.213486
1413.825500	1.120412	222.412567
1425.561205	1.034570	223.549292
1437.357943	0.948728	224.037419
1449.155142	0.862886	224.222710
1460.943908	0.777044	224.149567
1472.749463	0.691202	224.314225
1484.554007	0.605360	224.234626
1496.349481	0.519519	224.024320
1508.132162	0.433677	223.720384
1519.896108	0.347835	223.279455
1531.632776	0.261993	222.736608
1543.337677	0.176151	221.513169
1554.962125	0.090309	220.735340
1566.541007	0.004467	219.695913
1578.102610	-0.081375	219.121943
1589.599811	-0.167217	217.708124
1601.021763	-0.253059	216.479565
1612.374814	-0.338901	214.667975
1623.632001	-0.424743	213.557091
1634.823198	-0.510584	212.319567
1645.990832	-0.596426	211.684623
1657.100300	-0.682268	210.614569
1668.157101	-0.768110	209.599834
1679.160194	-0.853952	208.548801
1690.106576	-0.939794	207.416601
1700.990853	-1.025636	206.187525
1711.807470	-1.111478	204.814113
1722.548333	-1.197320	203.428587
1733.214897	-1.283162	202.021602
1743.811201	-1.369004	200.655584
1754.333099	-1.454846	199.208904
1764.777475	-1.540687	197.756079
1775.144873	-1.626529	196.335708
1785.440083	-1.712371	194.915962
1795.660207	-1.798213	193.402411
1805.796014	-1.884055	192.084123
1815.867539	-1.969897	190.650683
1825.870726	-2.055739	189.108717
1835.771645	-2.141581	186.993751
1845.554649	-2.227423	184.632127
1855.204425	-2.313265	182.102688
1864.719287	-2.399107	179.855839
1874.125372	-2.484949	177.415178
1883.405169	-2.570790	176.183699
1892.630309	-2.656632	175.735888
1901.903747	-2.742474	176.789988
1911.231340	-2.828316	175.108035
1920.406816	-2.914158	173.753435
1929.440494	-3.000000	173.092617
