Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.620056	7.215188	29.182921	0.284909	0	0	0	0.000000e+00	999.728938
2	103.064600	7.129346	29.051933	0.286193	0	0	0	0.000000e+00	958.423311
3	151.338697	7.043504	28.929140	0.287408	0	0	0	0.000000e+00	917.217652
4	197.645165	6.957662	28.825098	0.288446	0	0	0	0.000000e+00	879.858836
5	242.187212	6.871820	28.738055	0.289319	0	0	0	0.000000e+00	846.353379
6	284.973970	6.785978	28.657546	0.290132	0	0	0	0.000000e+00	813.017695
7	326.052830	6.700137	28.585292	0.290865	0	0	0	0.000000e+00	780.581751
8	365.504466	6.614295	28.522209	0.291509	0	0	0	0.000000e+00	749.670679
9	403.421003	6.528453	28.467848	0.292065	0	0	0	0.000000e+00	720.509136
10	439.912164	6.442611	28.421903	0.292537	0	0	0	0.000000e+00	693.430106
11	475.095341	6.356769	28.383455	0.292934	0	0	0	0.000000e+00	668.580514
12	509.066971	6.270927	28.350979	0.293269	0	0	0	0.000000e+00	645.563700
13	541.866792	6.185085	28.322291	0.293566	0	0	0	0.000000e+00	623.299303
14	573.485869	6.099243	28.295909	0.293840	0	0	0	0.000000e+00	600.861178
15	603.896636	6.013401	28.271247	0.294096	0	0	0	0.000000e+00	577.903341
16	633.072248	5.927559	28.248158	0.294337	0	0	0	0.000000e+00	554.431388
17	660.994529	5.841717	28.226333	0.294564	0	0	0	0.000000e+00	530.616210
18	687.677326	5.755875	28.205697	0.294780	0	0	0	0.000000e+00	507.062443
19	713.180495	5.670034	28.202986	0.294808	0	0	0	0.000000e+00	484.647054
20	737.591864	5.584192	28.184080	0.295006	0	0	0	0.000000e+00	463.893533
21	761.017620	5.498350	28.165291	0.295203	0	0	0	0.000000e+00	445.170233
22	783.584654	5.412508	28.146968	0.295395	0	0	0	0.000000e+00	428.848646
23	805.429137	5.326666	28.129459	0.295579	0	0	0	0.000000e+00	415.117860
24	826.469263	5.240824	28.096265	0.295928	0	0	0	0.000000e+00	399.830871
25	846.619559	5.154982	28.067040	0.296236	0	0	0	0.000000e+00	382.923239
26	865.924793	5.069140	28.033333	0.296592	0	0	0	0.000000e+00	366.863611
27	884.462853	4.983298	27.996164	0.296986	0	0	0	0.000000e+00	352.287705
28	902.311241	4.897456	27.956187	0.297411	0	0	0	0.000000e+00	339.177774
29	919.350679	4.811614	27.899177	0.298019	0	0	0	0.000000e+00	323.808858
30	935.464251	4.725772	27.817379	0.298895	0	1	1	3.153076e+02	306.213351
31	950.654181	4.639931	27.272530	0.304866	0	0	0	0.000000e+00	288.660148
32	964.959401	4.554089	27.143294	0.306318	0	1	2	2.790971e+02	271.847001
33	978.602772	4.468247	27.043618	0.149377	0	1	2	2.790971e+02	259.271613
34	991.819550	4.382405	26.978271	0.144495	0	1	2	2.790971e+02	251.166065
35	1004.649506	4.296563	26.919872	0.140014	0	1	2	2.790971e+02	243.812914
36	1017.133832	4.210721	26.872142	0.136273	0	0	0	0.000000e+00	237.243913
37	1029.173445	4.124879	26.957313	0.208224	1	1	3	2.327264e+02	228.793098
38	1041.806147	4.039037	26.865974	0.309480	1	0	0	0.000000e+00	240.064536
39	1054.921758	3.953195	26.879558	0.309323	1	1	4	2.564410e+02	249.239828
40	1067.262792	3.867353	26.752699	0.310790	1	1	4	2.564410e+02	234.519708
41	1078.858225	3.781511	26.638508	0.312122	1	1	4	2.564410e+02	220.352667
42	1089.733046	3.695669	26.528441	0.305700	1	1	4	2.564410e+02	206.657910
43	1099.949974	3.609828	26.513603	0.306344	1	1	4	2.564410e+02	194.155726
44	1109.574098	3.523986	26.579578	0.305503	1	1	4	2.564410e+02	182.890734
45	1119.364581	3.438144	26.559721	0.306280	1	0	0	0.000000e+00	186.053260
46	1129.621678	3.352302	26.506465	0.307510	0	0	0	0.000000e+00	194.916753
47	1139.820153	3.266460	26.512972	0.307407	1	0	0	0.000000e+00	193.806999
48	1150.034919	3.180618	26.511148	0.307539	1	0	0	0.000000e+00	194.116715
49	1160.367185	3.094776	26.497899	0.307832	0	0	0	0.000000e+00	196.348574
50	1170.741724	3.008934	26.493148	0.313835	0	0	0	0.000000e+00	197.149637
51	1181.147947	2.923092	26.489566	0.313877	0	0	0	0.000000e+00	197.752229
52	1191.407998	2.837250	26.505191	0.313692	0	0	0	0.000000e+00	194.974880
53	1201.206023	2.751408	26.556418	0.306503	0	1	5	1.911212e+02	186.194555
54	1210.417923	2.665566	26.623139	0.304860	0	1	5	1.911212e+02	175.057685
55	1219.073641	2.579725	26.686944	0.303575	1	1	5	1.911212e+02	164.488038
56	1227.199462	2.493883	26.748142	0.303809	1	1	5	1.911212e+02	154.418303
57	1234.832492	2.408041	26.804310	0.304423	1	1	5	1.911212e+02	145.055049
58	1242.379987	2.322199	26.812780	0.306011	1	0	0	0.000000e+00	143.427684
59	1250.402698	2.236357	26.757981	0.308105	1	0	0	0.000000e+00	152.458457
60	1259.428168	2.150515	26.644728	0.310407	1	0	0	0.000000e+00	171.514490
61	1269.378451	2.064673	26.540340	0.313277	0	0	0	0.000000e+00	189.086195
62	1279.797447	1.978831	26.487407	0.313903	0	0	0	0.000000e+00	197.997086
63	1290.513687	1.892989	26.503764	0.313709	0	0	0	0.000000e+00	203.645106
64	1301.366358	1.807147	26.523900	0.313471	0	0	0	0.000000e+00	206.236937
65	1312.317054	1.721305	26.538321	0.313301	0	0	0	0.000000e+00	208.100102
66	1323.348540	1.635463	26.550251	0.313160	0	0	0	0.000000e+00	209.636239
67	1334.450743	1.549622	26.560656	0.313037	0	0	0	0.000000e+00	210.980292
68	1345.618335	1.463780	26.570296	0.312924	0	0	0	0.000000e+00	212.220623
69	1356.848968	1.377938	26.579578	0.312814	0	0	0	0.000000e+00	213.419787
70	1368.143398	1.292096	26.588952	0.312704	0	0	0	0.000000e+00	214.634202
71	1379.504347	1.206254	26.598809	0.312588	0	0	0	0.000000e+00	215.893828
72	1390.940454	1.120412	26.609874	0.312458	0	0	0	0.000000e+00	217.323169
73	1402.418475	1.034570	26.616060	0.312386	0	0	0	0.000000e+00	218.119966
74	1413.977318	0.948728	26.627949	0.312246	0	0	0	0.000000e+00	219.657652
75	1425.623881	0.862886	26.640897	0.312094	0	0	0	0.000000e+00	221.322320
76	1437.283870	0.777044	26.642873	0.312071	0	0	0	0.000000e+00	221.577465
77	1448.952722	0.691202	26.644179	0.312056	0	0	0	0.000000e+00	221.748121
78	1460.625802	0.605360	26.644804	0.312049	0	0	0	0.000000e+00	221.825770
79	1472.299534	0.519519	26.644900	0.312047	0	0	0	0.000000e+00	221.839702
80	1483.969960	0.433677	26.644369	0.312054	0	0	0	0.000000e+00	221.777642
81	1495.631581	0.347835	26.643116	0.312068	0	0	0	0.000000e+00	221.610221
82	1507.275985	0.261993	26.640563	0.312098	0	0	0	0.000000e+00	221.282543
83	1518.896290	0.176151	26.637042	0.312139	0	0	0	0.000000e+00	220.823795
84	1530.464822	0.090309	26.629373	0.312229	0	0	0	0.000000e+00	219.841869
85	1541.994686	0.004467	26.623704	0.312296	0	0	0	0.000000e+00	219.105120
86	1553.492426	-0.081375	26.618965	0.312351	0	0	0	0.000000e+00	218.495296
87	1564.931403	-0.167217	26.610330	0.312453	0	0	0	0.000000e+00	217.378598
88	1576.286316	-0.253059	26.597916	0.312599	0	0	0	0.000000e+00	215.779679
89	1587.574440	-0.338901	26.588061	0.312714	0	0	0	0.000000e+00	214.512949
90	1598.818963	-0.424743	26.581634	0.312790	0	0	0	0.000000e+00	213.683434
91	1609.998436	-0.510584	26.572071	0.312903	0	0	0	0.000000e+00	212.446249
92	1621.117543	-0.596426	26.563143	0.313008	0	0	0	0.000000e+00	211.299526
93	1632.178570	-0.682268	26.554601	0.313109	0	0	0	0.000000e+00	210.195891
94	1643.183846	-0.768110	26.546384	0.313205	0	0	0	0.000000e+00	209.136250
95	1654.132966	-0.853952	26.538146	0.313303	0	0	0	0.000000e+00	208.068510
96	1665.022819	-0.939794	26.529397	0.313406	0	0	0	0.000000e+00	206.941768
97	1675.848650	-1.025636	26.519957	0.313518	0	0	0	0.000000e+00	205.725935
98	1686.604764	-1.111478	26.509644	0.313640	0	0	0	0.000000e+00	204.401726
99	1697.286074	-1.197320	26.498658	0.313770	0	0	0	0.000000e+00	202.979535
100	1707.892569	-1.283162	26.487580	0.313901	0	0	0	0.000000e+00	201.561061
101	1718.424399	-1.369004	26.476583	0.314031	0	0	0	0.000000e+00	200.142637
102	1728.876361	-1.454846	26.483681	0.313947	0	0	0	0.000000e+00	198.623074
103	1739.247917	-1.540687	26.492746	0.313840	0	0	0	0.000000e+00	197.095208
104	1749.543808	-1.626529	26.501333	0.313738	0	0	0	0.000000e+00	195.655575
105	1759.769212	-1.712371	26.509238	0.313644	0	0	0	0.000000e+00	194.316711
106	1769.928152	-1.798213	26.516745	0.313556	0	0	0	0.000000e+00	193.054366
107	1780.021675	-1.884055	26.524153	0.313468	0	0	0	0.000000e+00	191.809357
108	1790.044568	-1.969897	26.532121	0.313374	0	0	0	0.000000e+00	190.467682
109	1799.984357	-2.055739	26.541497	0.313263	0	0	0	0.000000e+00	188.888530
110	1809.823064	-2.141581	26.552807	0.313130	0	0	0	0.000000e+00	186.970285
111	1819.541730	-2.227423	26.566404	0.312969	0	0	0	0.000000e+00	184.686956
112	1829.130717	-2.313265	26.581005	0.312797	0	0	0	0.000000e+00	182.224006
113	1838.574105	-2.399107	26.597484	0.312604	0	0	0	0.000000e+00	179.454841
114	1847.912387	-2.484949	26.609316	0.312465	0	0	0	0.000000e+00	177.457947
115	1857.152239	-2.570790	26.620473	0.312334	0	0	0	0.000000e+00	175.586709
116	1866.338651	-2.656632	26.626476	0.312263	0	0	0	0.000000e+00	174.571231
117	1875.567484	-2.742474	26.621682	0.312320	0	0	0	0.000000e+00	175.377999
118	1884.873626	-2.828316	26.612942	0.312422	0	0	0	0.000000e+00	176.846774
119	1894.049285	-2.914158	26.627678	0.312249	0	0	0	0.000000e+00	174.367861
120	1903.087902	-3.000000	26.642944	0.312070	0	0	0	0.000000e+00	171.768883
