Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1020.415208	 -0.000193	0	1.232234e-28
1	52.620056	7.215188	979.042667	 -0.000180	1	9.311097e-03
2	103.064600	7.129346	937.803956	 -0.000019	1	9.311097e-03
3	151.338697	7.043504	896.631348	  0.000000	1	9.311097e-03
4	197.645165	6.957662	863.086325	 -0.000021	1	6.225316e-05
5	242.187212	6.871820	829.620433	 -0.000049	1	7.613444e-04
6	284.973970	6.785978	796.414957	 -0.000000	1	3.420054e-03
7	326.052830	6.700137	764.748545	 -0.000028	1	2.072760e-03
8	365.504466	6.614295	734.592813	 -0.000000	1	3.420054e-03
9	403.421003	6.528453	706.425459	 -0.000000	1	2.072760e-03
10	439.912164	6.442611	680.434754	 -0.000000	1	1.256218e-03
11	475.095341	6.356769	656.726274	  0.000000	1	3.420054e-03
12	509.066971	6.270927	634.401126	 -0.000000	1	4.614208e-04
13	541.866792	6.185085	612.197480	 -0.000001	1	3.420054e-03
14	573.485869	6.099243	589.524876	 -0.000001	1	2.796490e-04
15	603.896636	6.013401	566.281805	 -0.000000	1	1.256218e-03
16	633.072248	5.927559	542.580970	 -0.000001	1	3.420054e-03
17	660.994529	5.841717	518.651450	 -0.000001	1	2.796490e-04
18	687.677326	5.755875	495.473436	 -0.000000	1	7.613444e-04
19	713.180495	5.670034	473.820672	  0.000000	1	3.420054e-03
20	737.591864	5.584192	453.966394	 -0.000007	1	1.027177e-04
21	761.017620	5.498350	436.374071	 -0.000040	1	4.614208e-04
22	783.584654	5.412508	421.323221	  0.000001	1	2.072760e-03
23	805.429137	5.326666	408.912499	 -0.000000	1	2.796490e-04
24	826.469263	5.240824	390.749243	 -0.000001	0	1.256218e-03
25	846.619559	5.154982	375.097236	 -0.000018	1	1.027177e-04
26	865.924793	5.069140	358.629987	 -0.000005	0	3.420054e-03
27	884.462853	4.983298	345.945424	 -0.000031	1	1.027177e-04
28	902.311241	4.897456	332.410123	  0.000003	0	3.420054e-03
29	919.350679	4.811614	315.207594	 -0.000013	0	1.694842e-04
30	935.464251	4.725772	297.219109	 -0.000003	0	1.256218e-03
31	950.654181	4.639931	280.101187	  0.000004	1	3.420054e-03
32	964.959401	4.554089	263.592815	 -0.003350	0	2.286618e-05
33	978.602772	4.468247	254.950411	 -0.000025	0	5.643089e-03
34	991.819550	4.382405	247.381718	 -0.000441	1	1.027177e-04
35	1004.649506	4.296563	240.244110	 -0.000024	0	3.420054e-03
36	1017.133832	4.210721	234.243715	 -0.005279	0	2.796490e-04
37	1029.173445	4.124879	223.342481	  0.000024	0	5.643089e-03
38	1041.806147	4.039037	256.786591	 -0.000006	0	4.614208e-04
39	1054.921758	3.953195	241.693064	 -0.000038	0	3.420054e-03
40	1067.262792	3.867353	227.346352	  0.000008	0	1.256218e-03
41	1078.858225	3.781511	213.358982	 -0.000092	0	4.614208e-04
42	1089.733046	3.695669	199.956838	 -0.000049	0	3.420054e-03
