#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	7.301030	1017.745469
52.620056	7.215188	979.087277
103.064600	7.129346	937.825990
151.338697	7.043504	899.173876
197.645165	6.957662	863.112702
242.187212	6.871820	829.707238
284.973970	6.785978	796.927978
326.052830	6.700137	765.252105
365.504466	6.614295	735.255606
403.421003	6.528453	707.151009
439.912164	6.442611	681.195495
475.095341	6.356769	657.187384
509.066971	6.270927	634.441627
541.866792	6.185085	612.041161
573.485869	6.099243	589.334720
603.896636	6.013401	566.129217
633.072248	5.927559	542.504742
660.994529	5.841717	518.901952
687.677326	5.755875	495.981853
713.180495	5.670034	474.420168
737.591864	5.584192	454.720379
761.017620	5.498350	437.221229
783.584654	5.412508	422.203264
805.429137	5.326666	406.994987
826.469263	5.240824	391.586326
846.619559	5.154982	374.825488
865.924793	5.069140	359.890882
884.462853	4.983298	345.661845
902.311241	4.897456	331.187714
919.350679	4.811614	314.945608
935.464251	4.725772	297.509296
950.654181	4.639931	280.304370
964.959401	4.554089	266.214805
978.602772	4.468247	255.308315
991.819550	4.382405	247.525413
1004.649506	4.296563	240.623181
1017.133832	4.210721	232.610102
1029.173445	4.124879	238.124263
1041.806147	4.039037	240.607379
1054.921758	3.953195	241.942003
1067.262792	3.867353	227.466133
1078.858225	3.781511	213.554058
1089.733046	3.695669	200.556811
1099.949974	3.609828	188.579436
1109.574098	3.523986	186.820378
1119.364581	3.438144	189.086787
1129.621678	3.352302	194.097887
1139.820153	3.266460	194.462424
1150.034919	3.180618	195.052435
1160.367185	3.094776	196.690849
1170.741724	3.008934	197.476111
1181.147947	2.923092	195.775053
1191.407998	2.837250	190.172723
1201.206023	2.751408	180.645357
1210.417923	2.665566	169.848161
1219.073641	2.579725	159.461189
1227.199462	2.493883	149.846404
1234.832492	2.408041	145.420953
1242.379987	2.322199	148.539840
1250.402698	2.236357	163.060580
1259.428168	2.150515	178.978848
1269.378451	2.064673	193.419666
1279.797447	1.978831	200.399259
1290.513687	1.892989	204.853494
1301.366358	1.807147	207.134602
1312.317054	1.721305	208.847583
1323.348540	1.635463	210.296839
1334.450743	1.549622	211.594597
1345.618335	1.463780	212.819204
1356.848968	1.377938	214.030537
1368.143398	1.292096	215.268007
1379.504347	1.206254	216.632792
1390.940454	1.120412	217.591850
1402.418475	1.034570	219.142008
1413.977318	0.948728	220.257951
1425.623881	0.862886	221.447007
1437.283870	0.777044	221.651597
1448.952722	0.691202	221.782640
1460.625802	0.605360	221.826422
1472.299534	0.519519	221.802321
1483.969960	0.433677	221.682722
1495.631581	0.347835	221.430882
1507.275985	0.261993	221.046824
1518.896290	0.176151	220.251980
1530.464822	0.090309	219.595210
1541.994686	0.004467	218.699647
1553.492426	-0.081375	217.953029
1564.931403	-0.167217	216.482686
1576.286316	-0.253059	215.298131
1587.574440	-0.338901	214.019244
1598.818963	-0.424743	213.075844
1609.998436	-0.510584	211.876962
1621.117543	-0.596426	210.750815
1632.178570	-0.682268	209.670296
1643.183846	-0.768110	208.596804
1654.132966	-0.853952	207.500881
1665.022819	-0.939794	206.323261
1675.848650	-1.025636	205.056359
1686.604764	-1.111478	203.681772
1697.286074	-1.197320	202.279776
1707.892569	-1.283162	200.842379
1718.424399	-1.369004	199.375469
1728.876361	-1.454846	197.865144
1739.247917	-1.540687	196.384094
1749.543808	-1.626529	194.994235
1759.769212	-1.712371	193.690200
1769.928152	-1.798213	192.430089
1780.021675	-1.884055	191.124181
1790.044568	-1.969897	189.652865
1799.984357	-2.055739	187.898133
1809.823064	-2.141581	185.799048
1819.541730	-2.227423	183.455117
1829.130717	-2.313265	180.788752
1838.574105	-2.399107	178.635777
1847.912387	-2.484949	176.363887
1857.152239	-2.570790	175.380037
1866.338651	-2.656632	174.977256
1875.567484	-2.742474	176.220080
1884.873626	-2.828316	174.841676
1894.049285	-2.914158	173.814002
1903.087902	-3.000000	173.426251
