Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
1	 52.847039	7.215188	29.198838	0.284754	0	0	0	0.000000e+00	1004.030010
2	103.597982	7.129346	29.069735	0.286018	0	0	0	0.000000e+00	964.228211
3	152.324818	7.043504	28.953869	0.287163	0	0	0	0.000000e+00	925.803037
4	199.330167	6.957662	28.861037	0.288086	0	0	0	0.000000e+00	893.118607
5	245.009102	6.871820	28.793271	0.288764	0	0	0	0.000000e+00	867.933175
6	289.330913	6.785978	28.727413	0.289426	0	0	0	0.000000e+00	842.162257
7	332.175193	6.700137	28.659835	0.290109	0	0	0	0.000000e+00	814.101521
8	373.712601	6.614295	28.603841	0.290677	0	0	0	0.000000e+00	789.279238
9	414.049675	6.528453	28.555576	0.291168	0	0	0	0.000000e+00	766.477732
10	453.311994	6.442611	28.514786	0.291585	0	0	0	0.000000e+00	746.059017
11	491.753881	6.356769	28.485329	0.291886	0	0	0	0.000000e+00	730.472252
12	529.297082	6.270927	28.454921	0.292198	0	0	0	0.000000e+00	713.399581
13	565.618762	6.185085	28.416465	0.292593	0	0	0	0.000000e+00	690.203825
14	600.715729	6.099243	28.381033	0.292959	0	0	0	0.000000e+00	666.941365
15	635.005019	6.013401	28.359304	0.293183	0	0	0	0.000000e+00	651.601964
16	668.341011	5.927559	28.335219	0.293432	0	0	0	0.000000e+00	633.488656
17	700.598965	5.841717	28.310566	0.293688	0	0	0	0.000000e+00	613.006253
18	731.564326	5.755875	28.283044	0.293974	0	1	1	6.040484e+02	588.442698
19	760.705201	5.670034	28.247524	0.294343	0	1	1	6.040484e+02	553.773516
20	788.570355	5.584192	28.225389	0.294574	0	0	0	0.000000e+00	529.533854
21	815.246277	5.498350	28.205771	0.294779	0	1	2	5.212604e+02	506.929563
22	840.447974	5.412508	28.197941	0.294861	0	0	0	0.000000e+00	478.918251
23	864.279301	5.326666	28.173400	0.295118	0	1	3	4.657651e+02	452.874990
24	886.743887	5.240824	28.144585	0.295420	0	1	3	4.657651e+02	426.903310
25	907.924210	5.154982	28.111022	0.295773	0	1	3	4.657651e+02	402.498035
26	927.969793	5.069140	28.063213	0.296277	0	0	0	0.000000e+00	380.931612
27	946.978540	4.983298	28.019780	0.296736	0	0	0	0.000000e+00	361.232673
28	964.944507	4.897456	27.963559	0.297332	0	1	4	3.514179e+02	341.410950
29	981.930839	4.811614	27.896748	0.298044	0	0	0	0.000000e+00	322.797004
30	997.946789	4.725772	27.809769	0.298977	0	1	5	3.124071e+02	304.357054
31	1013.843333	4.639931	27.795241	0.299133	0	0	0	0.000000e+00	302.087061
32	1029.974671	4.554089	27.819278	0.298874	0	0	0	0.000000e+00	306.548733
33	1046.231027	4.468247	27.831466	0.298744	0	0	0	0.000000e+00	308.925535
34	1062.441564	4.382405	27.827058	0.298791	0	0	0	0.000000e+00	308.052529
35	1077.877714	4.296563	27.307266	0.304478	0	0	0	0.000000e+00	293.338333
36	1093.234004	4.210721	27.789512	0.299195	0	0	0	0.000000e+00	291.819594
37	1107.423314	4.124879	27.511794	0.302215	1	1	6	2.554852e+02	269.645343
38	1120.630523	4.039037	26.983324	0.308134	1	0	0	0.000000e+00	250.981773
39	1133.952186	3.953195	26.926726	0.308781	1	1	7	2.572158e+02	253.155495
40	1146.448892	3.867353	26.785222	0.310413	1	1	7	2.572158e+02	237.478856
41	1158.130691	3.781511	26.655454	0.311924	1	1	7	2.572158e+02	221.991630
42	1169.004844	3.695669	26.526517	0.304571	1	1	7	2.572158e+02	206.645106
43	1179.118170	3.609828	26.532402	0.305007	1	1	7	2.572158e+02	192.188450
