Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
0	0.000000	7.301030	1023.602021	 -0.000115	0	1.232234e-28
1	52.847039	7.215188	984.458000	 -0.000000	1	8.949069e-04
2	103.597982	7.129346	943.998423	 -0.000000	1	8.949069e-04
3	152.324818	7.043504	907.607652	 -0.000002	1	7.317422e-05
4	199.330167	6.957662	878.629562	 -0.000013	1	1.476596e-03
5	245.009102	6.871820	857.236788	 -0.000069	1	8.949069e-04
6	289.330913	6.785978	827.087726	 -0.000041	1	4.020033e-03
7	332.175193	6.700137	801.115315	 -0.000097	1	8.949069e-04
8	373.712601	6.614295	777.443162	 -0.000007	1	1.338497e-01
9	414.049675	6.528453	755.512301	 -0.000127	1	1.462178e-13
10	453.311994	6.442611	736.605732	  0.000009	1	1.338497e-01
11	491.753881	6.356769	724.338772	 -0.000125	1	5.370719e-14
12	529.297082	6.270927	702.460391	  0.000007	1	8.112101e-02
13	565.618762	6.185085	677.947260	 -0.000112	1	2.412594e-13
14	600.715729	6.099243	655.935469	 -0.000017	1	8.112101e-02
15	635.005019	6.013401	647.268459	 -0.000156	1	2.412594e-13
16	668.341011	5.927559	619.708853	  0.000030	0	1.338497e-01
17	700.598965	5.841717	606.303652	 -0.000257	0	1.462178e-13
18	731.564326	5.755875	570.581743	  0.000010	0	4.916425e-02
19	760.705201	5.670034	536.965289	 -0.000119	0	1.325427e-11
20	788.570355	5.584192	522.102418	  0.000003	0	1.805849e-02
21	815.246277	5.498350	491.756708	 -0.000214	1	3.608475e-11
22	840.447974	5.412508	466.079794	  0.000001	0	6.633055e-03
23	864.279301	5.326666	439.670186	 -0.000085	1	8.905271e-09
24	886.743887	5.240824	414.136434	  0.000001	0	2.436384e-03
25	907.924210	5.154982	390.859636	 -0.000231	1	1.620972e-10
26	927.969793	5.069140	371.003588	  0.000001	1	2.436384e-03
27	946.978540	4.983298	351.461758	 -0.000233	0	8.905271e-09
28	964.944507	4.897456	331.360142	 -0.000421	1	1.628944e-05
29	981.930839	4.811614	314.233866	 -0.003871	0	1.331946e-06
30	997.946789	4.725772	294.480243	 -0.000218	0	8.112101e-02
31	1013.843333	4.639931	309.693880	 -0.001490	0	1.325427e-11
32	1029.974671	4.554089	303.403586	  0.000098	0	2.979651e-02
33	1046.231027	4.468247	314.447484	 -0.002557	0	9.824074e-11
34	1062.441564	4.382405	301.657575	 -0.009393	0	8.949069e-04
35	1077.877714	4.296563	285.019092	 -0.001064	0	4.020033e-03
36	1093.234004	4.210721	298.620097	 -0.022320	0	2.436384e-03
37	1107.423314	4.124879	240.670589	 -0.001291	0	1.338497e-01
38	1120.630523	4.039037	261.292957	 -0.005981	0	2.186955e-11
39	1133.952186	3.953195	245.018033	  0.001512	1	1.338497e-01
40	1146.448892	3.867353	229.939678	 -0.002082	0	9.824074e-11
41	1158.130691	3.781511	214.043581	 -0.000307	0	5.423678e-04
42	1169.004844	3.695669	199.246632	 -0.001013	0	4.892363e-07
43	1179.118170	3.609828	185.130269	 -0.000061	0	3.287078e-04
44	1188.564088	3.523986	173.879714	 -0.000392	0	2.197711e-06
45	1197.861780	3.438144	179.495543	 -0.000051	0	3.287078e-04
46	1207.433603	3.352302	184.298847	 -0.000634	0	1.982418e-09
47	1217.275612	3.266460	189.765045	  0.000186	0	1.094454e-02
48	1227.351653	3.180618	193.190943	 -0.000323	0	4.413097e-10
49	1237.551784	3.094776	194.479983	 -0.000088	0	4.020033e-03
50	1247.942444	3.008934	200.436211	  0.000182	0	1.201466e-09
51	1258.347003	2.923092	195.005825	  0.000074	0	8.949069e-04
52	1268.301819	2.837250	183.345102	  0.001072	0	8.905271e-09
53	1277.730028	2.751408	174.991451	  0.000101	0	5.423678e-04
54	1286.562432	2.665566	160.698074	  0.000179	0	8.949069e-04
55	1294.766680	2.579725	151.119483	  0.000900	0	8.905271e-09
56	1302.466655	2.493883	141.529052	  0.000423	0	1.476596e-03
57	1309.748283	2.408041	135.223876	  0.003215	0	1.089098e-07
58	1316.681045	2.322199	128.268941	  0.008363	0	2.197711e-06
59	1324.317187	2.236357	161.956935	 -0.017745	0	5.423678e-04
60	1333.363196	2.150515	181.850831	 -0.010958	0	1.338497e-01
61	1343.289578	2.064673	195.412750	  1.005272	0	1.083768e-12
62	1353.744881	1.978831	201.963746	  0.016425	0	1.338497e-01
63	1364.454866	1.892989	205.088799	  0.547775	1	3.626223e-06
64	1375.298966	1.807147	207.064042	  0.763481	1	6.633055e-03
65	1386.239603	1.721305	208.746503	  0.020512	1	4.916425e-02
66	1397.261409	1.635463	210.151744	 -3.168144	1	8.905271e-09
67	1408.354154	1.549622	211.446344	 -0.027121	1	1.338497e-01
68	1419.514381	1.463780	212.712349	 -1.584388	1	2.424460e-08
69	1430.739078	1.377938	213.899467	 -0.010048	1	4.916425e-02
70	1442.028637	1.292096	215.180522	  1.295205	1	9.824074e-11
71	1453.387836	1.206254	216.545376	  0.013754	1	1.094454e-02
72	1464.822527	1.120412	218.053126	  0.405071	1	9.872391e-06
73	1476.346319	1.034570	219.923346	  1.545384	1	8.949069e-04
74	1487.950461	0.948728	221.111492	 -0.012416	1	4.916425e-02
75	1499.592519	0.862886	221.362650	  2.351457	1	1.331946e-06
76	1511.243238	0.777044	221.444974	  0.250803	1	1.805849e-02
77	1522.897055	0.691202	221.480187	  0.181888	1	2.979651e-02
78	1534.548387	0.605360	221.345134	 -0.068749	1	4.916425e-02
79	1546.194282	0.519519	221.275302	 -5.024416	1	4.000359e-08
80	1557.826253	0.433677	220.816740	 -0.222428	1	1.338497e-01
81	1569.436004	0.347835	220.431687	 -6.720015	1	3.626223e-06
82	1581.003272	0.261993	219.201854	 -0.014740	1	8.112101e-02
83	1592.549920	0.176151	219.644599	 46.373271	1	5.983267e-06
84	1603.983151	0.090309	214.898617	 -2.609364	1	6.012694e-01
85	1615.366771	0.004467	217.750412	-10.256050	0	4.020033e-03
