Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
1	7.215188	0	8.4446e-03	0.0000e+00	9.2768e-04	0.0000e+00
2	7.129346	0	8.4446e-03	0.0000e+00	9.5312e-04	0.0000e+00
3	7.043504	0	8.4450e-03	0.0000e+00	9.8345e-04	0.0000e+00
4	6.957662	0	8.4452e-03	0.0000e+00	1.0096e-03	0.0000e+00
5	6.871820	0	8.4455e-03	0.0000e+00	1.0306e-03	0.0000e+00
6	6.785978	0	8.4456e-03	0.0000e+00	1.0483e-03	0.0000e+00
7	6.700137	0	8.4457e-03	0.0000e+00	1.0641e-03	0.0000e+00
8	6.614295	0	8.4460e-03	0.0000e+00	1.0773e-03	0.0000e+00
9	6.528453	0	8.4459e-03	0.0000e+00	1.0881e-03	0.0000e+00
10	6.442611	0	8.4460e-03	0.0000e+00	1.0901e-03	0.0000e+00
11	6.356769	0	8.4462e-03	0.0000e+00	1.0905e-03	0.0000e+00
12	6.270927	0	8.4461e-03	0.0000e+00	1.1006e-03	0.0000e+00
13	6.185085	0	8.4464e-03	0.0000e+00	1.1207e-03	0.0000e+00
14	6.099243	0	8.4464e-03	0.0000e+00	1.1391e-03	0.0000e+00
15	6.013401	0	8.4467e-03	0.0000e+00	1.1495e-03	0.0000e+00
16	5.927559	0	8.4465e-03	0.0000e+00	1.1566e-03	0.0000e+00
17	5.841717	0	8.4467e-03	0.0000e+00	1.1609e-03	0.0000e+00
18	5.755875	0	8.4464e-03	0.0000e+00	1.1634e-03	0.0000e+00
19	5.670034	0	8.4465e-03	0.0000e+00	1.1648e-03	0.0000e+00
20	5.584192	0	8.4471e-03	0.0000e+00	1.1656e-03	0.0000e+00
21	5.498350	0	8.4466e-03	0.0000e+00	1.1658e-03	0.0000e+00
22	5.412508	0	8.4469e-03	0.0000e+00	1.1659e-03	0.0000e+00
23	5.326666	0	8.4467e-03	0.0000e+00	1.1659e-03	0.0000e+00
24	5.240824	0	8.4466e-03	0.0000e+00	1.1660e-03	0.0000e+00
25	5.154982	0	8.4466e-03	0.0000e+00	1.1660e-03	0.0000e+00
26	5.069140	0	8.4465e-03	0.0000e+00	1.1660e-03	0.0000e+00
27	4.983298	0	8.4469e-03	0.0000e+00	1.1661e-03	0.0000e+00
28	4.897456	0	8.4464e-03	0.0000e+00	1.1659e-03	0.0000e+00
29	4.811614	0	8.4466e-03	0.0000e+00	1.1660e-03	0.0000e+00
30	4.725772	0	8.4467e-03	0.0000e+00	1.1659e-03	0.0000e+00
31	4.639931	0	8.4465e-03	0.0000e+00	1.1659e-03	0.0000e+00
32	4.554089	0	8.4470e-03	0.0000e+00	1.1660e-03	0.0000e+00
33	4.468247	0	8.4468e-03	0.0000e+00	1.1659e-03	0.0000e+00
34	4.382405	0	8.4463e-03	0.0000e+00	1.1659e-03	0.0000e+00
35	4.296563	0	8.4468e-03	0.0000e+00	1.1660e-03	0.0000e+00
36	4.210721	0	8.4464e-03	0.0000e+00	1.1659e-03	0.0000e+00
37	4.124879	1	3.4543e-03	4.9929e-03	1.1660e-03	0.0000e+00
38	4.039037	1	1.0136e-03	2.4408e-03	1.1660e-03	0.0000e+00
39	3.953195	1	4.4099e-04	5.7259e-04	1.1660e-03	0.0000e+00
40	3.867353	1	2.5444e-04	1.8655e-04	1.1660e-03	0.0000e+00
41	3.781511	1	1.6318e-04	9.1264e-05	1.1659e-03	0.0000e+00
42	3.695669	1	1.1712e-04	4.6051e-05	1.1660e-03	0.0000e+00
43	3.609828	1	9.3523e-05	2.3602e-05	1.1660e-03	0.0000e+00
44	3.523986	1	8.1801e-05	1.1722e-05	1.1659e-03	0.0000e+00
45	3.438144	1	7.6758e-05	5.0430e-06	1.1660e-03	0.0000e+00
46	3.352302	1	7.5369e-05	1.3888e-06	1.1660e-03	0.0000e+00
47	3.266460	1	7.4722e-05	6.4695e-07	1.1659e-03	0.0000e+00
48	3.180618	1	7.3249e-05	1.4737e-06	1.1660e-03	0.0000e+00
49	3.094776	0	7.3249e-05	0.0000e+00	1.1659e-03	0.0000e+00
50	3.008934	0	7.3249e-05	0.0000e+00	1.1660e-03	0.0000e+00
51	2.923092	0	7.3249e-05	0.0000e+00	1.1659e-03	0.0000e+00
52	2.837250	0	7.3249e-05	0.0000e+00	1.1660e-03	0.0000e+00
53	2.751408	0	7.3249e-05	0.0000e+00	1.1659e-03	0.0000e+00
54	2.665566	0	7.3249e-05	0.0000e+00	1.1659e-03	0.0000e+00
55	2.579725	1	6.8322e-05	4.9265e-06	1.1660e-03	0.0000e+00
56	2.493883	1	5.2357e-05	1.5966e-05	1.1660e-03	0.0000e+00
57	2.408041	1	3.7491e-05	1.4865e-05	1.1661e-03	0.0000e+00
58	2.322199	1	2.5958e-05	1.1533e-05	1.1659e-03	0.0000e+00
59	2.236357	1	1.8376e-05	7.5820e-06	1.1658e-03	0.0000e+00
60	2.150515	1	1.4523e-05	3.8530e-06	1.1660e-03	0.0000e+00
61	2.064673	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
62	1.978831	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
63	1.892989	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
64	1.807147	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
65	1.721305	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
66	1.635463	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
67	1.549622	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
68	1.463780	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
69	1.377938	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
70	1.292096	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
71	1.206254	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
72	1.120412	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
73	1.034570	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
74	0.948728	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
75	0.862886	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
76	0.777044	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
77	0.691202	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
78	0.605360	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
79	0.519519	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
80	0.433677	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
81	0.347835	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
82	0.261993	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
83	0.176151	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
84	0.090309	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
85	0.004467	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
86	-0.081375	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
87	-0.167217	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
88	-0.253059	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
89	-0.338901	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
90	-0.424743	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
91	-0.510584	0	1.4523e-05	0.0000e+00	1.1661e-03	0.0000e+00
92	-0.596426	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
93	-0.682268	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
94	-0.768110	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
95	-0.853952	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
96	-0.939794	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
97	-1.025636	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
98	-1.111478	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
99	-1.197320	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
100	-1.283162	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
101	-1.369004	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
102	-1.454846	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
103	-1.540687	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
104	-1.626529	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
105	-1.712371	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
106	-1.798213	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
107	-1.884055	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
108	-1.969897	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
109	-2.055739	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
110	-2.141581	0	1.4523e-05	0.0000e+00	1.1658e-03	0.0000e+00
111	-2.227423	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
112	-2.313265	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
113	-2.399107	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
114	-2.484949	0	1.4523e-05	0.0000e+00	1.1658e-03	0.0000e+00
115	-2.570790	0	1.4523e-05	0.0000e+00	1.1660e-03	0.0000e+00
116	-2.656632	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
117	-2.742474	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
118	-2.828316	0	1.4523e-05	0.0000e+00	1.1658e-03	0.0000e+00
119	-2.914158	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
120	-3.000000	0	1.4523e-05	0.0000e+00	1.1659e-03	0.0000e+00
