#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	7.301030	1018.306642
52.847039	7.215188	984.019481
103.597982	7.129346	945.354691
152.324818	7.043504	910.078546
199.330167	6.957662	881.158000
245.009102	6.871820	854.318025
289.330913	6.785978	828.479943
332.175193	6.700137	801.882068
373.712601	6.614295	778.023593
414.049675	6.528453	756.520398
453.311994	6.442611	738.818935
491.753881	6.356769	721.134965
529.297082	6.270927	701.582141
565.618762	6.185085	678.781040
600.715729	6.099243	660.383729
635.005019	6.013401	640.970927
668.341011	5.927559	624.426988
700.598965	5.841717	598.864750
731.564326	5.755875	571.283562
760.705201	5.670034	543.216484
788.570355	5.584192	516.941472
815.246277	5.498350	493.312974
840.447974	5.412508	465.835563
864.279301	5.326666	439.962138
886.743887	5.240824	414.888752
907.924210	5.154982	391.999886
927.969793	5.069140	371.108327
946.978540	4.983298	351.275162
964.944507	4.897456	332.351922
981.930839	4.811614	313.358083
997.946789	4.725772	306.135996
1013.843333	4.639931	302.525903
1029.974671	4.554089	309.181650
1046.231027	4.468247	306.502882
1062.441564	4.382405	300.374717
1077.877714	4.296563	295.098921
1093.234004	4.210721	274.769926
1107.423314	4.124879	266.861214
1120.630523	4.039037	248.993860
1133.952186	3.953195	245.416889
1146.448892	3.867353	229.667097
1158.130691	3.781511	214.409964
1169.004844	3.695669	199.473494
1179.118170	3.609828	186.085538
1188.564088	3.523986	179.501842
1197.861780	3.438144	179.224701
1207.433603	3.352302	184.519812
1217.275612	3.266460	189.084945
1227.351653	3.180618	192.478657
1237.551784	3.094776	196.035712
1247.942444	3.008934	196.640673
1258.347003	2.923092	192.929046
1268.301819	2.837250	184.447459
1277.730028	2.751408	173.011542
1286.562432	2.665566	162.269669
1294.766680	2.579725	151.115536
1302.466655	2.493883	142.624137
1309.748283	2.408041	135.007290
1316.681045	2.322199	141.816584
1324.317187	2.236357	157.358902
1333.363196	2.150515	179.740172
1343.289578	2.064673	193.075776
1353.744881	1.978831	200.821765
1364.454866	1.892989	204.705529
1375.298966	1.807147	206.966448
1386.239603	1.721305	208.654096
1397.261409	1.635463	210.114864
1408.354154	1.549622	211.436813
1419.514381	1.463780	212.686054
1430.739078	1.377938	213.930780
1442.028637	1.292096	215.208455
1453.387836	1.206254	216.593008
1464.822527	1.120412	218.173950
1476.346319	1.034570	219.695988
1487.950461	0.948728	220.799163
1499.592519	0.862886	221.306372
1511.243238	0.777044	221.429270
1522.897055	0.691202	221.423432
1534.548387	0.605360	221.366874
1546.194282	0.519519	221.145725
1557.826253	0.433677	220.841243
1569.436004	0.347835	220.150094
1581.003272	0.261993	219.759380
1592.549920	0.176151	217.915023
1603.983151	0.090309	217.431209
1615.366771	0.004467	215.763056
1626.743514	-0.081375	215.802152
1638.048325	-0.167217	214.657710
1649.344600	-0.253059	213.989210
1660.578341	-0.338901	213.035950
1671.755048	-0.424743	211.340839
1682.842176	-0.510584	210.359570
1693.864462	-0.596426	209.191759
1704.871547	-0.682268	208.727754
1715.829965	-0.768110	207.705355
1726.735020	-0.853952	206.710556
1737.582942	-0.939794	205.529219
1748.369489	-1.025636	204.336601
1759.087198	-1.111478	202.881642
1769.726034	-1.197320	201.502148
1780.288855	-1.283162	199.911315
1790.772102	-1.369004	198.457950
1801.170673	-1.454846	196.615048
1811.473327	-1.540687	195.176106
1821.697415	-1.626529	193.535230
1831.852904	-1.712371	192.528358
1841.946584	-1.798213	191.031753
1851.973084	-1.884055	189.958043
1861.925824	-1.969897	188.016432
1871.781431	-2.055739	186.543161
1881.538522	-2.141581	183.820634
1891.160009	-2.227423	182.084549
1900.663823	-2.313265	178.967199
1910.037557	-2.399107	177.332564
1919.283896	-2.484949	174.852560
1928.462870	-2.570790	174.631790
1937.623490	-2.656632	174.618242
1946.851227	-2.742474	175.839662
1956.125539	-2.828316	177.414838
1965.506883	-2.914158	178.276253
1974.927014	-3.000000	179.495589
